-0.166892	509	625	492	114
-0.147361	519	637	497	11
-0.127830	522	628	498	8
-0.108299	524	633	499	5
-0.088767	521	622	498	11
-0.069236	515	639	503	16
-0.049705	514	641	508	1
-0.030174	523	629	507	11
-0.010642	521	628	507	1
0.008889	523	635	514	7
0.027868	522	632	516	3
0.047399	517	631	507	1
0.066930	516	630	498	0
0.086462	520	641	500	10
0.105993	518	639	518	2
0.125524	520	623	523	15
0.145055	523	637	502	14
0.164587	516	631	492	5
0.184118	520	637	508	4
0.203649	521	632	522	4
0.220213	519	628	515	4
0.239744	516	633	507	4
0.259275	517	635	512	1
0.278806	519	636	511	1
0.298338	518	629	504	6
0.317869	516	629	504	0
0.337400	521	629	513	0
0.356931	524	643	512	14
0.376463	519	632	499	10
0.395994	512	628	498	4
0.424042	520	643	512	14
0.443573	522	633	516	9
0.463104	522	627	504	5
0.482635	520	637	499	10
0.502167	517	641	506	3
0.521698	516	627	512	14
0.541229	519	628	518	1
0.560760	519	639	513	10
0.580292	520	637	511	1
0.599823	517	627	517	10
0.615833	523	628	527	2
0.635364	517	643	522	13
0.654895	519	640	515	3
0.674427	514	641	512	0
0.693958	516	633	524	7
0.713489	520	639	534	7
0.733020	513	650	532	10
0.752552	511	652	519	0
0.772083	508	694	515	41
0.791614	515	728	524	34
0.874650	517	721	508	7
0.894181	490	666	521	53
0.913712	547	624	599	9
0.933244	583	605	656	39
0.952775	594	583	737	64
0.972306	601	555	790	45
0.991837	594	600	805	21
1.011369	600	697	764	8
1.030900	588	762	722	10
1.050431	574	780	695	4
0.994707	566	744	669	45
1.014238	549	684	651	61
1.033769	543	622	638	54
1.053300	526	629	635	0
1.072832	541	620	634	4
1.092363	534	576	623	35
1.111894	520	547	608	27
1.131425	512	542	599	10
1.150957	509	533	600	1
1.170488	514	515	596	6
1.189841	509	495	581	12
1.209372	496	493	569	8
1.228903	500	492	564	5
1.248435	506	479	566	6
1.267966	487	466	563	9
1.287497	482	466	566	3
1.307028	487	459	567	3
1.326560	501	442	569	10
1.346091	507	427	566	9
1.365622	487	433	560	5
1.388859	494	446	550	17
1.408390	508	426	549	15
1.427921	517	409	561	20
1.447453	517	414	571	0
1.466984	540	426	575	4
1.486515	542	418	574	6
1.506046	537	407	575	8
1.525578	526	403	571	0
1.545109	501	426	554	28
1.564640	485	457	543	27
1.582638	522	434	542	15
1.602169	534	355	562	82
1.621700	515	360	593	6
1.641232	511	414	601	39
1.660763	508	419	577	18
1.680294	514	383	562	24
1.699825	521	400	561	15
1.719357	529	420	568	13
1.738888	505	425	576	0
1.758419	492	416	588	15
1.805764	480	404	603	20
1.825295	485	419	616	2
1.844826	494	448	620	15
1.864357	510	451	613	8
1.883889	518	441	591	11
1.903420	518	497	572	44
1.922951	544	515	552	10
1.942482	538	460	545	15
1.962014	544	456	584	29
1.981545	574	517	617	25
1.971208	655	524	568	32
1.990739	520	519	486	125
2.010270	489	518	443	44
2.029802	392	522	486	50
2.049333	370	528	593	41
2.068864	447	463	666	9
2.088395	432	399	725	79
2.107927	498	431	763	10
2.127458	578	446	762	2
2.146989	543	460	650	116
2.165795	488	386	551	16
2.185326	514	367	523	11
2.204857	501	461	540	86
2.224389	475	474	561	12
2.243920	483	395	580	66
2.263451	475	420	588	13
2.282982	489	424	586	7
2.302514	510	402	579	11
2.322045	505	407	571	8
2.341576	489	411	583	4
2.362669	512	417	590	2
2.382200	500	446	578	28
2.401731	465	417	552	19
2.421263	475	395	553	16
2.440794	491	446	578	33
