time: 5.968515625	x_noise: 0	avg_x_error: 0	var_x_error: 0	y_noise: 0	avg_y_error: 0	var_y_error: 0
time: 7.22472222222	x_noise: 13.1861991882	avg_x_error: 9.51136033878	var_x_error: 0.399427642987	y_noise: 9.14186382294	avg_y_error: 6.72290033585	var_y_error: 0.486867518368
time: 8.476796875	x_noise: 16.2580451965	avg_x_error: 18.8220975985	var_x_error: 6.02391826362	y_noise: 33.3630867004	avg_y_error: 29.6428907836	var_y_error: 82.9760140407
time: 9.71693576389	x_noise: 35.1057853699	avg_x_error: 49.548390695	var_x_error: 44.5268843604	y_noise: 22.9155044556	avg_y_error: 17.190204638	var_y_error: 5.17853003987
time: 10.9451128472	x_noise: 115.359138489	avg_x_error: 64.0285814101	var_x_error: 56.2568390943	y_noise: 120.141082764	avg_y_error: 111.772974975	var_y_error: 6.13901487293
time: 12.1892013889	x_noise: 15.9210691452	avg_x_error: 8.84328919125	var_x_error: 17.132226657	y_noise: 12.9592657089	avg_y_error: 8.71710949772	var_y_error: 1.14722352934
time: 13.41734375	x_noise: 54.7772026062	avg_x_error: 66.8820320046	var_x_error: 28.9465210129	y_noise: 42.809753418	avg_y_error: 39.17400591	var_y_error: 10.662510313
time: 14.6574739583	x_noise: 46.2696151733	avg_x_error: 58.5819203342	var_x_error: 63.0335138635	y_noise: 35.099811554	avg_y_error: 56.2075511313	var_y_error: 28.0790774037
time: 17.1298177083	x_noise: 38.7307815552	avg_x_error: 23.6391143175	var_x_error: 3.45460112042	y_noise: 45.0683250427	avg_y_error: 14.7846835921	var_y_error: 1.82420409271
time: 19.6180121528	x_noise: 30.6040248871	avg_x_error: 38.1180013024	var_x_error: 69.8901261924	y_noise: 27.9244384766	avg_y_error: 21.6972196763	var_y_error: 3.87167558009
time: 20.8621875	x_noise: 15.0343017578	avg_x_error: 29.009398816	var_x_error: 14.8102973672	y_noise: 18.3501739502	avg_y_error: 27.4820788732	var_y_error: 3.79205436683
time: 23.3144270833	x_noise: 64.6324310303	avg_x_error: 44.6213068439	var_x_error: 15.6160224353	y_noise: 70.6221542358	avg_y_error: 52.9989953443	var_y_error: 121.3410049
time: 24.5505815972	x_noise: 15.481013298	avg_x_error: 12.2749759831	var_x_error: 0.877368122435	y_noise: 27.8877696991	avg_y_error: 26.4081090371	var_y_error: 5.56041598293
time: 27.6428993056	x_noise: 39.4550247192	avg_x_error: 19.8124032977	var_x_error: 0.0201521703651	y_noise: 38.9024543762	avg_y_error: 21.7990353969	var_y_error: 1.67240442272
time: 28.8950347222	x_noise: 9.23238277435	avg_x_error: 18.3392822131	var_x_error: 3.00316917079	y_noise: 18.8494091034	avg_y_error: 22.6287946885	var_y_error: 30.7989777042
time: 30.1632118056	x_noise: 19.1626663208	avg_x_error: 15.9396726659	var_x_error: 4.49636484043	y_noise: 28.9310665131	avg_y_error: 48.0162023339	var_y_error: 41.8569599773
time: 31.4553211806	x_noise: 26.4558467865	avg_x_error: 23.7517842942	var_x_error: 0.3294245089	y_noise: 16.7526493073	avg_y_error: 20.7043632866	var_y_error: 1.82735988363
time: 33.3395572917	x_noise: 21.5108089447	avg_x_error: 13.9750906808	var_x_error: 0.262623724597	y_noise: 25.8329315186	avg_y_error: 15.2986243822	var_y_error: 0.185898899842
time: 34.6076996528	x_noise: 26.5049877167	avg_x_error: 22.9054275118	var_x_error: 1.07519598868	y_noise: 15.8996858597	avg_y_error: 19.9506340022	var_y_error: 4.31804110844
time: 35.8598003472	x_noise: 23.1475372314	avg_x_error: 35.0095677678	var_x_error: 22.3994589228	y_noise: 16.4038143158	avg_y_error: 32.1661821598	var_y_error: 18.5798088475
time: 37.0919357639	x_noise: 9.56946849823	avg_x_error: 36.5736161235	var_x_error: 23.6308682221	y_noise: 10.1744117737	avg_y_error: 21.7431524749	var_y_error: 7.63710138201
time: 38.3640798611	x_noise: 38.022567749	avg_x_error: 25.2155115174	var_x_error: 7.1124459574	y_noise: 14.480714798	avg_y_error: 14.7329724505	var_y_error: 77.2212553591
time: 39.6002604167	x_noise: 8.80950260162	avg_x_error: 8.05346832252	var_x_error: 5.72359263599	y_noise: 8.96754074097	avg_y_error: 6.6465674718	var_y_error: 0.801442346656
time: 40.8683506944	x_noise: 11.5636758804	avg_x_error: 12.4545053998	var_x_error: 1.72539330909	y_noise: 9.58064937592	avg_y_error: 6.97489433235	var_y_error: 0.263021748794
time: 42.7206336806	x_noise: 14.4118528366	avg_x_error: 10.4162086958	var_x_error: 17.1437246563	y_noise: 12.1709623337	avg_y_error: 11.7837361731	var_y_error: 33.947175793
time: 45.2128298611	x_noise: 11.3818311691	avg_x_error: 12.9828687871	var_x_error: 3.43394375068	y_noise: 20.4586334229	avg_y_error: 16.4884139052	var_y_error: 0.301115332673
time: 46.4289583333	x_noise: 24.9966335297	avg_x_error: 19.4112793511	var_x_error: 6.77710264116	y_noise: 15.3222465515	avg_y_error: 12.0213955166	var_y_error: 40.2432279413
time: 47.6930989583	x_noise: 90.6723175049	avg_x_error: 50.9910293402	var_x_error: 39.7052641788	y_noise: 35.3951644897	avg_y_error: 29.5158583871	var_y_error: 13.5387366928
time: 53.2257118056	x_noise: 33.2893943787	avg_x_error: 22.1542040854	var_x_error: 1.5720530066	y_noise: 58.8364181519	avg_y_error: 22.5214921687	var_y_error: 1.40919477296
time: 54.4378385417	x_noise: 23.2996883392	avg_x_error: 30.7046976324	var_x_error: 0.71384698757	y_noise: 37.2199668884	avg_y_error: 25.8948293494	var_y_error: 7.00071856727
time: 57.4901822917	x_noise: 33.7938194275	avg_x_error: 23.5246025842	var_x_error: 0.924760567053	y_noise: 63.722076416	avg_y_error: 39.2653335012	var_y_error: 2.59347666864
time: 58.7663194444	x_noise: 26.5496807098	avg_x_error: 23.9767849573	var_x_error: 53.9379600665	y_noise: 56.5565452576	avg_y_error: 44.1401569331	var_y_error: 1427.53863643
time: 60.6385416667	x_noise: 31.0739498138	avg_x_error: 33.7486497115	var_x_error: 88.6328495465	y_noise: 30.8601093292	avg_y_error: 40.446068678	var_y_error: 2.4223486307
