time: 4.32933159722	x_noise: 0	avg_x_error: 0	var_x_error: 0	y_noise: 0	avg_y_error: 0	var_y_error: 0
time: 5.67345486111	x_noise: 5.93693351746	avg_x_error: 3.18724967124	var_x_error: 0.146443448991	y_noise: 3.04120159149	avg_y_error: 2.480760567	var_y_error: 0.0866883293214
time: 6.96964409722	x_noise: 14.2034864426	avg_x_error: 20.2657757061	var_x_error: 4.10408577865	y_noise: 9.20386505127	avg_y_error: 5.45998463705	var_y_error: 0.0235800098682
time: 8.20575520833	x_noise: 10.224565506	avg_x_error: 11.4992001194	var_x_error: 0.955447876087	y_noise: 8.54444599152	avg_y_error: 9.86351662319	var_y_error: 1.44590998988
time: 9.41386284722	x_noise: 14.567773819	avg_x_error: 7.51240535967	var_x_error: 0.836711863697	y_noise: 8.2270822525	avg_y_error: 3.71564164783	var_y_error: 0.137491703502
time: 10.826015625	x_noise: 11.3010797501	avg_x_error: 16.4235930647	var_x_error: 3.67732821238	y_noise: 7.06409311295	avg_y_error: 9.40215908099	var_y_error: 1.62170951381
time: 13.27828125	x_noise: 35.5658798218	avg_x_error: 20.1975945112	var_x_error: 2.37206451058	y_noise: 20.6764163971	avg_y_error: 14.9566687078	var_y_error: 0.147998577288
time: 14.4944184028	x_noise: 9.3992395401	avg_x_error: 12.1210555904	var_x_error: 2.68236923394	y_noise: 8.31789970398	avg_y_error: 6.52695262517	var_y_error: 0.459430676832
time: 16.4946354167	x_noise: 5.79342556	avg_x_error: 3.27848029318	var_x_error: 0.11985602235	y_noise: 3.18597149849	avg_y_error: 2.1248079239	var_y_error: 0.0470201746445
time: 17.7147743056	x_noise: 7.12901353836	avg_x_error: 6.5761714682	var_x_error: 0.342632652954	y_noise: 8.56298923492	avg_y_error: 6.39921773765	var_y_error: 0.0910413186779
time: 19.5389670139	x_noise: 8.94359016418	avg_x_error: 7.28486173825	var_x_error: 0.614434377448	y_noise: 11.8061084747	avg_y_error: 8.13962819332	var_y_error: 0.440195311143
time: 21.3632986111	x_noise: 16.8850803375	avg_x_error: 10.2898822039	var_x_error: 0.0278109059999	y_noise: 9.77576828003	avg_y_error: 7.99276933683	var_y_error: 0.128818814282
time: 22.5833506944	x_noise: 30.7641983032	avg_x_error: 28.1500132124	var_x_error: 7.20000595113	y_noise: 26.5130901337	avg_y_error: 24.6291523506	var_y_error: 5.74928491815
time: 23.791484375	x_noise: 20.7898101807	avg_x_error: 28.475138143	var_x_error: 14.7377274291	y_noise: 15.4944076538	avg_y_error: 14.2993582443	var_y_error: 1.9738442005
time: 25.00765625	x_noise: 31.6034107208	avg_x_error: 26.2264265993	var_x_error: 11.6164652771	y_noise: 17.2518825531	avg_y_error: 25.1560135999	var_y_error: 8.02820544748
time: 26.2197569444	x_noise: 45.2616691589	avg_x_error: 37.03370795	var_x_error: 24.2191133713	y_noise: 31.1568851471	avg_y_error: 32.3327264242	var_y_error: 120.073910612
time: 27.4398350694	x_noise: 13.1944999695	avg_x_error: 8.81542897156	var_x_error: 0.495445086204	y_noise: 15.7843341827	avg_y_error: 8.71013036164	var_y_error: 0.805253901973
time: 28.6559722222	x_noise: 6.28866195679	avg_x_error: 7.93213359081	var_x_error: 0.522025578418	y_noise: 5.08070707321	avg_y_error: 3.94695749186	var_y_error: 0.000106936288833
time: 29.8881163194	x_noise: 7.07201385498	avg_x_error: 8.28529631032	var_x_error: 1.19632809208	y_noise: 4.75444126129	avg_y_error: 6.23719655114	var_y_error: 0.575862772527
time: 31.1122395833	x_noise: 23.5865688324	avg_x_error: 21.918656768	var_x_error: 0.135159366919	y_noise: 14.1989040375	avg_y_error: 10.723691304	var_y_error: 1.49427964393
time: 32.3284548611	x_noise: 21.548160553	avg_x_error: 20.6073899568	var_x_error: 0.805228400867	y_noise: 12.190246582	avg_y_error: 11.0948658674	var_y_error: 0.440245803913
time: 33.5405121528	x_noise: 40.2978210449	avg_x_error: 34.402599744	var_x_error: 1.19633886764	y_noise: 19.2306270599	avg_y_error: 22.3850321965	var_y_error: 0.276974719467
time: 35.3847222222	x_noise: 25.6730480194	avg_x_error: 12.8103701603	var_x_error: 1.2336644357	y_noise: 23.8408031464	avg_y_error: 17.3828778128	var_y_error: 3.37158701631
time: 36.6088975694	x_noise: 13.3402767181	avg_x_error: 21.0325099593	var_x_error: 5.22876544398	y_noise: 14.04570961	avg_y_error: 7.85589786009	var_y_error: 0.528391664952
time: 37.8209809028	x_noise: 19.2928657532	avg_x_error: 13.8184975406	var_x_error: 0.00943028807377	y_noise: 18.475894928	avg_y_error: 11.0398381145	var_y_error: 0.355744271536
time: 39.7892447917	x_noise: 13.1144313812	avg_x_error: 7.4594463379	var_x_error: 0.640019731122	y_noise: 10.0178537369	avg_y_error: 6.23059605132	var_y_error: 0.399298493176
time: 41.2053472222	x_noise: 10.3397569656	avg_x_error: 13.1575600815	var_x_error: 0.033250648035	y_noise: 6.51372718811	avg_y_error: 3.7697633632	var_y_error: 0.128969256348
time: 42.5934982639	x_noise: 13.5638198853	avg_x_error: 13.8138482466	var_x_error: 0.0414394661062	y_noise: 10.7134885788	avg_y_error: 8.79535436339	var_y_error: 5.71745289551
time: 43.9416579861	x_noise: 14.9279212952	avg_x_error: 10.1970814107	var_x_error: 1.79449432766	y_noise: 9.69220066071	avg_y_error: 16.153260434	var_y_error: 4.76407470155
time: 45.3018229167	x_noise: 65.0656356812	avg_x_error: 34.5659776662	var_x_error: 21.7720818704	y_noise: 38.5131568909	avg_y_error: 16.69661612	var_y_error: 3.46704102324
time: 46.6579427083	x_noise: 15.9216032028	avg_x_error: 11.4316339432	var_x_error: 1.26222816913	y_noise: 9.34477424622	avg_y_error: 4.82732751358	var_y_error: 0.291029336244
time: 48.6742100694	x_noise: 28.0449333191	avg_x_error: 18.5466713211	var_x_error: 3.49671512749	y_noise: 13.2962770462	avg_y_error: 16.3184695917	var_y_error: 14.0815423999
time: 49.9663368056	x_noise: 12.5564050674	avg_x_error: 8.14170759066	var_x_error: 1.04414544395	y_noise: 7.25989198685	avg_y_error: 5.57445967653	var_y_error: 0.492824472337
