time: 8.29990451389	x_noise: 0	avg_x_error: 0	var_x_error: 0	y_noise: 0	avg_y_error: 0	var_y_error: 0
time: 9.52407118056	x_noise: 40.7682418823	avg_x_error: 27.4409440392	var_x_error: 0.209377761191	y_noise: 28.9243164062	avg_y_error: 26.1904970829	var_y_error: 2.46250893522
time: 10.7601822917	x_noise: 9.44773674011	avg_x_error: 14.8348532379	var_x_error: 3.86596449217	y_noise: 11.0175848007	avg_y_error: 16.5837998374	var_y_error: 4.53483665526
time: 12.0084201389	x_noise: 15.4798851013	avg_x_error: 34.6467387939	var_x_error: 5598.06498136	y_noise: 13.038728714	avg_y_error: 22.168834892	var_y_error: 8.64863893068
time: 17.488984375	x_noise: 105.948234558	avg_x_error: 60.7195995974	var_x_error: 0.610780863787	y_noise: 155.874450684	avg_y_error: 80.3035537307	var_y_error: 16.9104256027
time: 18.7010503472	x_noise: 3.91693806648	avg_x_error: 3.38815218996	var_x_error: 3.08905231105	y_noise: 3.13650250435	avg_y_error: 2.55634788531	var_y_error: 0.115066266519
time: 19.9177604167	x_noise: 7.57975959778	avg_x_error: 6.81144188078	var_x_error: 0.333836461392	y_noise: 9.94542121887	avg_y_error: 8.78933019686	var_y_error: 0.860890710608
time: 21.1333246528	x_noise: 9.71070575714	avg_x_error: 6.92241053266	var_x_error: 0.0562301962967	y_noise: 4.79533243179	avg_y_error: 2.73091361399	var_y_error: 0.0345206327271
time: 22.369453125	x_noise: 5.94850444794	avg_x_error: 8.40598845931	var_x_error: 1.22419025069	y_noise: 9.3865032196	avg_y_error: 11.6858937552	var_y_error: 2.51717201083
time: 23.5976302083	x_noise: 7.52725744247	avg_x_error: 6.50054109248	var_x_error: 0.026543576654	y_noise: 8.06717395782	avg_y_error: 8.21443555204	var_y_error: 1.19424937935
time: 24.8377430556	x_noise: 26.2506656647	avg_x_error: 38.0987933406	var_x_error: 26.82443097	y_noise: 47.7619132996	avg_y_error: 50.7236609232	var_y_error: 47.2858065919
time: 26.0538541667	x_noise: 32.4694213867	avg_x_error: 41.958848262	var_x_error: 24.2280898155	y_noise: 101.477348328	avg_y_error: 65.1850122427	var_y_error: 78.3355507809
time: 27.2700260417	x_noise: 58.3611869812	avg_x_error: 34.8292191983	var_x_error: 43.9284274311	y_noise: 35.2088851929	avg_y_error: 35.7643712755	var_y_error: 72.7354091745
time: 28.4821267361	x_noise: 22.6676769257	avg_x_error: 16.2253283691	var_x_error: 0.119461369486	y_noise: 26.2014350891	avg_y_error: 28.371283497	var_y_error: 0.0609765520242
