time: 4.09988715278	x_error: 0.013871722854	y_error: 0.0362514508556
time: 4.127890625	x_error: 0.013872985535	y_error: 0.036246553003
time: 4.15948784722	x_error: 0.0138667401632	y_error: 37.047077983
time: 4.18618923611	x_error: 0.0138836641097	y_error: 0.0362397903081
time: 4.21592881944	x_error: 9.11580915353	y_error: 0.0362683668063
time: 4.24159722222	x_error: 3.63828594923	y_error: 36.3311526851
time: 4.26788194444	x_error: 0.229929974002	y_error: 6.54947563044
time: 4.29598090278	x_error: 0.376500056206	y_error: 0.0502274752921
time: 4.32790798611	x_error: 0.82295414922	y_error: 2.34700311832
time: 4.35168402778	x_error: 2.480833563	y_error: 31.1681052399
time: 4.37991319444	x_error: 0.0303187981563	y_error: 2.98899570758
time: 4.40392361111	x_error: 0.104602885937	y_error: 0.0291960275074
time: 4.423984375	x_error: 2.19604236575	y_error: 2.72487802806
time: 4.44791666667	x_error: 2.21620182518	y_error: 4.86639508758
time: 4.46792534722	x_error: 13.0499721829	y_error: 4.47988263345
time: 4.49192708333	x_error: 0.0136459964423	y_error: 0.0705280879525
time: 4.51993055556	x_error: 15.1183675389	y_error: 0.00779112521263
time: 4.54393229167	x_error: 13.0570181435	y_error: 0.0345766430931
time: 4.56397569444	x_error: 14.7572614398	y_error: 0.0610178341595
time: 4.59197048611	x_error: 2.18821937707	y_error: 0.0307841613997
time: 4.61193576389	x_error: 0.0139125522757	y_error: 0.0363200923138
time: 4.63256076389	x_error: 53.633375793	y_error: 83.3631415216
time: 4.66001736111	x_error: 0.0139153924641	y_error: 78.1666008556
time: 4.688046875	x_error: 0.0138941315154	y_error: 41.6094387463
time: 4.71594618056	x_error: 0.0139081218858	y_error: 80.1130220927
time: 4.73995659722	x_error: 0.013911715678	y_error: 132.480811192
time: 4.75998263889	x_error: 0.01390085549	y_error: 0.0362966912998
time: 4.78049479167	x_error: 0.013885677835	y_error: 0.0362947411329
time: 4.80412326389	x_error: 0.0139158735454	y_error: 0.0362951055863
time: 4.83488715278	x_error: 27.1828486878	y_error: 0.0362787980901
time: 5.48005208333	x_error: 0.883576833109	y_error: 61.3504389753
time: 5.50459201389	x_error: 0.883541256458	y_error: 144.402468374
time: 5.528046875	x_error: 7.57852539602	y_error: 9.67337361515
time: 5.548046875	x_error: 0.883595520631	y_error: 9.67337645649
time: 5.57203993056	x_error: 2.10028457771	y_error: 1.14058232106
time: 5.59208333333	x_error: 1.66420804348	y_error: 70.7325709001
time: 5.61204861111	x_error: 1.4340688242	y_error: 7.76282631398
time: 5.63245659722	x_error: 1.64381816561	y_error: 20.2188989235
time: 5.66005208333	x_error: 32.4908590156	y_error: 3.40617404634
time: 5.68805555556	x_error: 5.79508716234	y_error: 23.0629602032
time: 5.71213541667	x_error: 54.2578837336	y_error: 92.465139974
time: 5.7440625	x_error: 5.62737994822	y_error: 2.33294643594
time: 5.76806423611	x_error: 8.88459316244	y_error: 2.34106879929
time: 5.78811631944	x_error: 1.93128222694	y_error: 27.7229873437
time: 5.80841145833	x_error: 0.808391112662	y_error: 55.2629295932
time: 5.83207465278	x_error: 1.27944006153	y_error: 19.1405202648
time: 5.86006944444	x_error: 0.70095514352	y_error: 38.6961949645
time: 5.88493923611	x_error: 1.45626065955	y_error: 120.800538402
time: 5.91210069444	x_error: 0.731307671104	y_error: 27.9718046979
time: 5.93424479167	x_error: 0.883598675078	y_error: 9.67331004488
time: 5.96415798611	x_error: 0.88356805041	y_error: 35.5858294592
time: 5.98409722222	x_error: 216.94715514	y_error: 41.0163170875
time: 6.00408854167	x_error: 0.883541449647	y_error: 79.2522344435
time: 6.02418402778	x_error: 304.530891727	y_error: 29.0071784044
time: 6.05210069444	x_error: 101.902768107	y_error: 34.1432816183
time: 6.07611111111	x_error: 71.4147112063	y_error: 186.085093615
time: 6.09611111111	x_error: 61.4216626055	y_error: 131.595645416
time: 6.11611111111	x_error: 0.883640035221	y_error: 9.67223768934
