time: 4.35736111111	x_error: 0.893975800285	y_error: 9.43498367412
time: 4.38534722222	x_error: 0.222509738991	y_error: 8.24257866105
time: 4.41048611111	x_error: 1.36961752399	y_error: 0.274996307915
time: 4.43166666667	x_error: 4.11621739722	y_error: 3.97029555903
time: 4.45386284722	x_error: 2.7013272984	y_error: 1.28174865998
time: 4.47793402778	x_error: 2.51397922579	y_error: 2.05062206942
time: 4.50552951389	x_error: 0.59476771812	y_error: 0.594294861651
time: 4.529375	x_error: 0.448449199658	y_error: 0.419873526565
time: 4.55337673611	x_error: 0.559743152498	y_error: 0.364781461925
time: 4.57738715278	x_error: 0.617193591606	y_error: 2.36316960582
time: 4.60138888889	x_error: 2.53913712134	y_error: 0.933734139107
time: 4.625390625	x_error: 1.86204257953	y_error: 1.90198637412
time: 4.65339409722	x_error: 3.79946175874	y_error: 2.58742116855
time: 4.67753472222	x_error: 0.722143586708	y_error: 0.658640049294
time: 4.70138888889	x_error: 0.535300555959	y_error: 14.7705389262
time: 4.72540798611	x_error: 0.698122422424	y_error: 3.19170087847
time: 4.75341145833	x_error: 0.673176122124	y_error: 0.373097540515
time: 4.77754340278	x_error: 0.452600625759	y_error: 0.276999622485
time: 4.80140625	x_error: 5.23367284293	y_error: 0.373440614252
time: 4.82901909722	x_error: 0.0562643340558	y_error: 0.263394349834
time: 4.85349826389	x_error: 17.0518856756	y_error: 0.263203981459
time: 4.87741319444	x_error: 7.96779545913	y_error: 0.263409702895
time: 4.90199652778	x_error: 0.30758343426	y_error: 0.263207861448
time: 4.92541666667	x_error: 1.80495491364	y_error: 0.990335548129
time: 4.95008680556	x_error: 0.43733013754	y_error: 12.8491719947
time: 4.974140625	x_error: 0.288995423144	y_error: 1.13353177457
time: 4.99770833333	x_error: 0.300222593769	y_error: 7.41255062787
time: 5.02542534722	x_error: 0.434432461658	y_error: 0.33314385339
time: 5.04983506944	x_error: 0.308339029296	y_error: 0.212636263148
time: 5.07350694444	x_error: 0.375142588365	y_error: 0.317159452341
time: 5.69350694444	x_error: 6.55675543863	y_error: 0.04309187434
time: 5.7175	x_error: 1.14194981782	y_error: 2.20756254406
time: 5.73751736111	x_error: 1.89293755463	y_error: 5.17246896064
time: 5.75750868056	x_error: 5.68512380131	y_error: 0.0953088332022
time: 5.78552083333	x_error: 0.309332867609	y_error: 0.696416751272
time: 5.80953125	x_error: 8.10817566708	y_error: 1.08152061253
time: 5.83282986111	x_error: 3.66355049303	y_error: 9.47241312714
time: 5.85357638889	x_error: 28.3343351774	y_error: 0.128801199064
time: 5.88152777778	x_error: 3.20002783159	y_error: 0.12857364598
time: 5.90154513889	x_error: 29.9413121668	y_error: 0.0648627432108
time: 5.92553819444	x_error: 0.54384028281	y_error: 0.0762001715925
time: 5.94962673611	x_error: 9.0426002199	y_error: 3.98359944321
time: 5.96953993056	x_error: 19.3090608137	y_error: 0.070706919843
time: 5.98953993056	x_error: 2.10161673253	y_error: 0.0983959875098
time: 6.01486111111	x_error: 2.45151556228	y_error: 6.02597486538
time: 6.035	x_error: 6.27048914254	y_error: 1.28212716324
time: 6.05658854167	x_error: 35.5312113913	y_error: 0.107014606194
time: 6.08160590278	x_error: 4.88876597405	y_error: 0.0538224215117
time: 6.10734375	x_error: 35.843757962	y_error: 0.0268913770453
time: 6.12555555556	x_error: 38.5473469833	y_error: 4.68984894095
time: 6.14817708333	x_error: 28.9978089353	y_error: 0.0632127420751
time: 6.17020833333	x_error: 80.4830220885	y_error: 0.0421351227197
time: 6.19283854167	x_error: 75.0730099028	y_error: 26.1857284824
time: 6.20956597222	x_error: 62.4249043787	y_error: 0.0430860778317
time: 6.22956597222	x_error: 2.16138291149	y_error: 0.043060218072
time: 6.24957465278	x_error: 126.218194568	y_error: 2.27527236581
time: 6.27358506944	x_error: 132.884700842	y_error: 27.8241846987
time: 6.29357638889	x_error: 20.3983069512	y_error: 28.1654845344
time: 6.31357638889	x_error: 1.97951499374	y_error: 0.0430819908803
time: 6.33756944444	x_error: 35.1527039335	y_error: 6.58839969052
time: 6.98999131944	x_error: 0.947661165307	y_error: 8.00639550056
time: 7.01365451389	x_error: 8.92186933417	y_error: 0.351272904194
time: 7.03364583333	x_error: 34.9202698462	y_error: 1.39938291296
time: 7.05374131944	x_error: 4.63816103971	y_error: 7.06716907419
time: 7.07365451389	x_error: 35.4542043368	y_error: 1.35982728888
time: 7.09365451389	x_error: 11.2463368382	y_error: 4.18099954409
time: 7.12003472222	x_error: 10.3208430204	y_error: 22.2093888688
time: 7.13766493056	x_error: 11.2995636469	y_error: 0.210906017411
time: 7.15766493056	x_error: 1.09857064414	y_error: 22.7436163433
time: 7.17790798611	x_error: 41.5028704455	y_error: 26.4583068555
time: 7.19766493056	x_error: 0.601266509791	y_error: 38.6363054662
time: 7.21767361111	x_error: 8.51250237768	y_error: 8.52642151905
time: 7.23768229167	x_error: 49.1883244719	y_error: 16.7552271977
time: 7.26177951389	x_error: 0.0782604271088	y_error: 0.525274372472
time: 7.28168402778	x_error: 83.3202889072	y_error: 0.825405510673
time: 7.30168402778	x_error: 18.7913993564	y_error: 22.0100164358
time: 7.32172743056	x_error: 5.12502239659	y_error: 1.3850379317
time: 7.34168402778	x_error: 11.9164685697	y_error: 4.2220465597
time: 7.36975694444	x_error: 11.5137346937	y_error: 24.0841640038
time: 7.3896875	x_error: 2.88014529676	y_error: 56.3450082666
time: 7.4096875	x_error: 42.6659221382	y_error: 45.5631699024
time: 7.42969618056	x_error: 0.283124981372	y_error: 34.3834306758
time: 7.44969618056	x_error: 2.17981898904	y_error: 0.533344922968
time: 7.46977430556	x_error: 2.28476228983	y_error: 6.06960893993
time: 7.48969618056	x_error: 5.1920023617	y_error: 7.96904161045
time: 7.515859375	x_error: 13.4875337757	y_error: 1.39951312211
time: 7.53377604167	x_error: 0.251673543796	y_error: 0.617619209849
time: 7.55370659722	x_error: 3.48868465267	y_error: 1.38377753682
time: 7.57370659722	x_error: 0.00831241023604	y_error: 1.42655520108
time: 7.59370659722	x_error: 4.31629086839	y_error: 1.02727650345
time: 8.228828125	x_error: 11.9161940978	y_error: 9.28144873398
time: 8.25144965278	x_error: 3.45803398782	y_error: 1.42641823418
time: 8.26979166667	x_error: 1.53293630279	y_error: 1.87849433727
time: 8.28979166667	x_error: 9.02711613467	y_error: 3.29346689858
time: 8.30980034722	x_error: 1.32669537705	y_error: 1.0099935439
time: 8.32979166667	x_error: 1.27518067557	y_error: 1.25564908363
time: 8.34980034722	x_error: 5.80749442537	y_error: 0.251366537948
time: 8.36980034722	x_error: 1.45848336874	y_error: 1.22032139972
time: 8.38980034722	x_error: 0.887348493198	y_error: 1.67067848774
time: 8.40980034722	x_error: 11.6448364138	y_error: 1.2638974878
time: 8.42980902778	x_error: 16.6937316792	y_error: 2.66209182952
time: 8.44980902778	x_error: 9.85231054215	y_error: 1.29106752063
time: 8.46981770833	x_error: 0.605173564366	y_error: 1.55445445539
time: 8.48980902778	x_error: 4.29283807657	y_error: 2.01905937097
time: 8.50982638889	x_error: 1.51223304866	y_error: 1.11335130032
time: 8.52981770833	x_error: 1.01610667843	y_error: 1.45744699018
time: 8.54982638889	x_error: 0.64367853379	y_error: 1.04585906689
time: 8.56982638889	x_error: 14.7201537386	y_error: 3.66075066872
time: 8.58993923611	x_error: 1.59797989419	y_error: 1.29910157011
time: 8.60982638889	x_error: 3.91094410771	y_error: 1.52453356053
time: 8.62981770833	x_error: 0.739164046581	y_error: 0.93070507955
time: 8.64982638889	x_error: 1.03474676448	y_error: 0.755888554537
time: 8.66982638889	x_error: 0.867530901973	y_error: 1.05160044395
time: 8.68983506944	x_error: 0.689970758002	y_error: 1.16127972622
time: 8.70983506944	x_error: 0.790696458574	y_error: 0.991287412981
time: 8.72983506944	x_error: 3.42829828491	y_error: 0.99130110984
time: 8.74983506944	x_error: 0.790711814204	y_error: 0.991303094386
time: 8.76983506944	x_error: 0.790682201864	y_error: 0.991295922168
time: 8.78984375	x_error: 0.790657027951	y_error: 0.991087916793
time: 8.81365451389	x_error: 0.790616859607	y_error: 0.990838537673
time: 9.44137152778	x_error: 29.5186215076	y_error: 0.0375954780137
time: 9.47397569444	x_error: 8.74600639293	y_error: 6.13156343909
time: 9.49392361111	x_error: 35.7095827591	y_error: 0.06770042676
time: 9.52035590278	x_error: 2.89166515372	y_error: 18.9526526287
time: 9.544296875	x_error: 11.9963843149	y_error: 0.0493538357188
time: 9.56855902778	x_error: 0.942584725275	y_error: 18.1622242701
time: 9.59264756944	x_error: 11.2751125553	y_error: 1.77490071076
time: 9.61793402778	x_error: 3.14577298088	y_error: 8.76312023763
time: 9.6459375	x_error: 12.2922038041	y_error: 19.7780695094
time: 9.67393229167	x_error: 13.9347427666	y_error: 6.47500456707
time: 9.70193576389	x_error: 2.46932338339	y_error: 17.8847471177
time: 9.72993923611	x_error: 6.99859765322	y_error: 8.37295362917
time: 9.75394097222	x_error: 66.3976687976	y_error: 0.0790113839919
time: 9.77796006944	x_error: 35.3502299547	y_error: 0.027682035713
time: 9.801953125	x_error: 43.0777863243	y_error: 0.0479106760895
time: 9.82995659722	x_error: 27.2768971583	y_error: 0.0531647954224
time: 9.85395833333	x_error: 49.1860966315	y_error: 0.0392433060601
time: 9.87799479167	x_error: 11.2545148884	y_error: 5.87097121372
time: 9.90196180556	x_error: 2.04145044983	y_error: 6.30099738104
time: 9.93396701389	x_error: 3.79456081955	y_error: 62.4322213292
time: 9.95796875	x_error: 0.0374512323783	y_error: 40.6208764429
time: 9.98204861111	x_error: 1.18416441524	y_error: 55.2528479275
time: 10.00609375	x_error: 1.0299263611	y_error: 49.4756285743
time: 10.0339756944	x_error: 2.1256425366	y_error: 38.9197323307
time: 10.0579774306	x_error: 1.97552021766	y_error: 6.47580918741
time: 10.0886111111	x_error: 30.7717202661	y_error: 0.0859760102314
time: 10.1125260417	x_error: 71.1011135385	y_error: 0.00563141170505
time: 10.133984375	x_error: 75.6965098552	y_error: 0.0565146596315
time: 10.1579861111	x_error: 57.5372237047	y_error: 0.0354508183282
time: 10.1859895833	x_error: 30.5152829374	y_error: 0.0441510800479
time: 10.8572916667	x_error: 39.6979277331	y_error: 21.7200376133
time: 10.8753385417	x_error: 40.3865823843	y_error: 20.4580031505
time: 10.8940798611	x_error: 5.44746746627	y_error: 4.47842744863
time: 10.9140711806	x_error: 64.5427372391	y_error: 1.20240747423
time: 10.9340625	x_error: 80.9112366095	y_error: 0.258784936477
time: 10.954140625	x_error: 28.8655118802	y_error: 10.1810458051
time: 10.9740711806	x_error: 5.96397077769	y_error: 6.80224642867
time: 10.9940711806	x_error: 33.3387115504	y_error: 10.943589157
time: 11.0140798611	x_error: 3.26629794038	y_error: 54.3694209952
time: 11.0340798611	x_error: 32.2265897842	y_error: 11.8176410554
time: 11.0540798611	x_error: 1.99726269478	y_error: 0.292656373602
time: 11.0740798611	x_error: 10.4529557054	y_error: 11.854609538
time: 11.0940885417	x_error: 11.3603847107	y_error: 19.5589151897
time: 11.1140972222	x_error: 17.5901828006	y_error: 2.58895868326
time: 11.1341059028	x_error: 26.4523106035	y_error: 21.1231226118
time: 11.1540885417	x_error: 35.9172858059	y_error: 23.2801671334
time: 11.1740885417	x_error: 39.7518056005	y_error: 21.0885376245
time: 11.1940885417	x_error: 23.6055461203	y_error: 6.76961536362
time: 11.2141059028	x_error: 12.9180271227	y_error: 12.8053270033
time: 11.2340972222	x_error: 24.6536893223	y_error: 27.0047398714
time: 11.2540972222	x_error: 16.6973844491	y_error: 22.0379894386
time: 11.2741319444	x_error: 7.53839424202	y_error: 2.33353622125
time: 11.2941059028	x_error: 21.9254866041	y_error: 14.945094797
time: 11.3141145833	x_error: 56.8561397243	y_error: 3.42469330007
time: 11.3341145833	x_error: 1.37881967481	y_error: 5.49139855672
time: 11.3541145833	x_error: 0.115641166081	y_error: 8.15957283878
time: 11.3781076389	x_error: 3.69147426974	y_error: 18.2517280967
time: 11.3981163194	x_error: 4.8577839736	y_error: 3.64157772916
time: 11.4181597222	x_error: 7.92001116916	y_error: 2.60891038841
time: 11.4421267361	x_error: 31.1678008455	y_error: 9.67966302126
time: 11.4621440972	x_error: 3.97409345913	y_error: 31.2171424028
time: 11.4821354167	x_error: 14.7217870449	y_error: 2.71313736909
time: 11.5022048611	x_error: 30.0352302661	y_error: 3.32336985438
time: 11.5221354167	x_error: 9.84258729388	y_error: 13.4173354215
time: 11.5421354167	x_error: 23.4173895176	y_error: 16.0748967614
time: 11.5621354167	x_error: 30.2102568943	y_error: 14.8956527282
time: 11.5821440972	x_error: 7.39638854659	y_error: 16.6928322872
time: 11.6022829861	x_error: 19.1894975903	y_error: 20.2372970551
time: 11.6221440972	x_error: 5.75889910728	y_error: 55.3251278665
time: 11.6421440972	x_error: 4.27528990308	y_error: 6.39452211043
time: 11.6621614583	x_error: 29.059756673	y_error: 15.2059063679
time: 11.6821527778	x_error: 4.43882254696	y_error: 77.0089794294
time: 11.7022395833	x_error: 1.4505249982	y_error: 16.2482611054
time: 11.7222309028	x_error: 29.5896821006	y_error: 2.64002384421
time: 11.7421527778	x_error: 19.1326582437	y_error: 5.68189504285
time: 11.7621614583	x_error: 9.47382039408	y_error: 22.0116369823
time: 11.7864409722	x_error: 22.3712493525	y_error: 21.1704880078
time: 11.8062847222	x_error: 2.71048611694	y_error: 2.40820903721
time: 11.8261805556	x_error: 11.8877275881	y_error: 0.627434140866
time: 11.8462413194	x_error: 30.7644375182	y_error: 8.11030031479
time: 11.8661805556	x_error: 4.35746266618	y_error: 3.52513862301
time: 11.8861805556	x_error: 3.05129238561	y_error: 1.6996895689
time: 11.9061805556	x_error: 23.3733736053	y_error: 22.8395712633
time: 11.9261805556	x_error: 2.63184270872	y_error: 65.1332075023
time: 11.9461805556	x_error: 27.1243701444	y_error: 2.95511985478
time: 11.9662065972	x_error: 6.13026853672	y_error: 1.86351466568
time: 11.9861979167	x_error: 14.5686569048	y_error: 9.11640895681
time: 12.0061892361	x_error: 14.7657448709	y_error: 18.8060781105
time: 12.0301996528	x_error: 13.218608828	y_error: 8.06984054459
time: 12.0602777778	x_error: 6.25081479535	y_error: 15.1307677019
time: 12.078203125	x_error: 3.84167182552	y_error: 1.8951658394
time: 12.098203125	x_error: 36.9519512408	y_error: 5.50549002952
time: 12.1182118056	x_error: 39.3151487091	y_error: 56.3140722503
time: 12.1382118056	x_error: 25.709007086	y_error: 16.4647785309
time: 12.158203125	x_error: 5.27484140161	y_error: 2.14446570062
time: 12.1782118056	x_error: 1.37532031257	y_error: 31.641749992
time: 12.1982118056	x_error: 24.6525560783	y_error: 20.6957630664
time: 12.2182118056	x_error: 1.27210173517	y_error: 16.0619138025
time: 12.2382118056	x_error: 26.2359654864	y_error: 10.0058719224
time: 12.2582204861	x_error: 3.58886695978	y_error: 1.94562025446
time: 12.2782204861	x_error: 11.8974133258	y_error: 19.2389386307
time: 12.2982118056	x_error: 11.9898403517	y_error: 13.6547383664
time: 12.3182291667	x_error: 17.6055087867	y_error: 17.70517919
time: 12.3382291667	x_error: 12.2845387516	y_error: 2.63912656164
time: 12.3582291667	x_error: 20.5199297362	y_error: 8.68898512403
time: 12.3782291667	x_error: 26.823520034	y_error: 6.57962465798
time: 12.3982291667	x_error: 2.02991238952	y_error: 0.75612913016
time: 12.4182378472	x_error: 2.37721748931	y_error: 0.717045681714
time: 12.4382291667	x_error: 36.8922776599	y_error: 13.0477084347
time: 12.4582378472	x_error: 4.18666284303	y_error: 29.7274437363
time: 12.4782552083	x_error: 27.3578348222	y_error: 21.8686329036
time: 12.4983072917	x_error: 3.73695167642	y_error: 45.6046085441
time: 12.5182378472	x_error: 28.1960425783	y_error: 7.00373752858
time: 12.5382638889	x_error: 3.74884472414	y_error: 12.3292656918
time: 12.5582465278	x_error: 7.46778683035	y_error: 6.01586420984
time: 12.5782552083	x_error: 1.55301861135	y_error: 1.44605139209
time: 12.5982552083	x_error: 26.9617548028	y_error: 16.3445783507
