time: 8.32108506944	x_error: 23.7191511099	y_error: 11.8355883965
time: 8.34401909722	x_error: 100.510124086	y_error: 2.37359509141
time: 8.372421875	x_error: 3.96857547596	y_error: 2.70540838623
time: 8.39200520833	x_error: 2.10928792403	y_error: 20.109802807
time: 8.41197048611	x_error: 4.47719713508	y_error: 3.43566986587
time: 8.43197048611	x_error: 9.71971588029	y_error: 31.0830076075
time: 8.45197048611	x_error: 40.2916480067	y_error: 100.036439661
time: 8.47197916667	x_error: 4.62347875024	y_error: 127.1979809
time: 8.49598958333	x_error: 4.09370748235	y_error: 147.495205341
time: 8.51598958333	x_error: 49.7901866142	y_error: 22.2579161343
time: 8.53599826389	x_error: 9.56020752907	y_error: 6.04187591947
time: 8.55708333333	x_error: 101.184772402	y_error: 3.16745070748
time: 8.57599826389	x_error: 5.95317516557	y_error: 2.99758364459
time: 8.59599826389	x_error: 14.4051707516	y_error: 16.4752681421
time: 8.61739583333	x_error: 8.37179039687	y_error: 1.48052383756
time: 8.63599826389	x_error: 8.93228720383	y_error: 90.4364449412
time: 8.65600694444	x_error: 40.7881263041	y_error: 85.0331769416
time: 8.67600694444	x_error: 102.201821205	y_error: 4.24870388464
time: 8.69612847222	x_error: 32.7278630488	y_error: 28.9735832925
time: 8.72	x_error: 25.7326819441	y_error: 3.7460427602
time: 8.74000868056	x_error: 7.17881570526	y_error: 3.31813568929
time: 8.76000868056	x_error: 4.93535815611	y_error: 2.32931128164
time: 8.78000868056	x_error: 5.00911410715	y_error: 4.8960332204
time: 8.80000868056	x_error: 4.05362370435	y_error: 3.62832515187
time: 8.82000868056	x_error: 30.8922877271	y_error: 2.24986302142
time: 8.84059895833	x_error: 14.5530862175	y_error: 9.38372687496
time: 8.86001736111	x_error: 7.71606881569	y_error: 29.8406734139
time: 8.88001736111	x_error: 16.8001605056	y_error: 77.3504462491
time: 8.90002604167	x_error: 21.8513395922	y_error: 26.847926719
time: 8.9240625	x_error: 30.8034429767	y_error: 14.6589975055
time: 9.54809895833	x_error: 0.386192809768	y_error: 23.556083353
time: 9.57263888889	x_error: 7.48757813901	y_error: 5.47923702738
time: 9.59210069444	x_error: 0.556951862992	y_error: 36.0809899792
time: 9.61210069444	x_error: 50.2760684483	y_error: 0.721442784021
time: 9.63210069444	x_error: 69.3055148053	y_error: 0.840489281996
time: 9.652109375	x_error: 0.377607836701	y_error: 44.3778211036
time: 9.672109375	x_error: 0.501630882487	y_error: 0.751457652995
time: 9.69213541667	x_error: 0.325943067846	y_error: 67.5988246071
time: 9.71449652778	x_error: 0.386212268621	y_error: 23.4191256517
time: 9.73213541667	x_error: 36.8316455428	y_error: 0.935273124734
time: 9.75215277778	x_error: 95.2083278153	y_error: 0.93520969348
time: 9.77211805556	x_error: 0.386334160204	y_error: 0.935353249608
time: 9.80003472222	x_error: 0.386304691982	y_error: 60.1115610273
time: 9.8203125	x_error: 0.386367828664	y_error: 0.93539561256
time: 9.84013020833	x_error: 12.2708831739	y_error: 70.0454073009
time: 9.86013020833	x_error: 25.0941122112	y_error: 8.0326093229
time: 9.88013020833	x_error: 72.6225605917	y_error: 0.935313241895
time: 9.90013888889	x_error: 8.60570784983	y_error: 5.13135639771
time: 9.92014756944	x_error: 0.556831604528	y_error: 33.0738756047
time: 9.94020833333	x_error: 0.382530551995	y_error: 69.1301431147
time: 9.96013888889	x_error: 0.523412955726	y_error: 62.7142425377
