time: 6.43389756944	x_noise: 0	avg_x_error: 0	var_x_error: 0	y_noise: 0	avg_y_error: 0	var_y_error: 0
time: 7.68207465278	x_noise: 5.15352630615	avg_x_error: 3.44065322242	var_x_error: 0.212709052805	y_noise: 6.99540758133	avg_y_error: 7.79762827831	var_y_error: 0.0527928605475
time: 8.93827256944	x_noise: 5.73568201065	avg_x_error: 7.59507390463	var_x_error: 0.990636792429	y_noise: 5.88581609726	avg_y_error: 6.85217361678	var_y_error: 0.848632614516
time: 10.1743489583	x_noise: 6.62440061569	avg_x_error: 10.7856903925	var_x_error: 1.34675368154	y_noise: 8.82597827911	avg_y_error: 12.0942863699	var_y_error: 1.29327969257
time: 11.3945138889	x_noise: 11.0023889542	avg_x_error: 15.3715718596	var_x_error: 3.89612312686	y_noise: 14.6496038437	avg_y_error: 12.8869930203	var_y_error: 1.07548654322
time: 12.6226475694	x_noise: 4.99066114426	avg_x_error: 4.54573265213	var_x_error: 0.171509514372	y_noise: 7.25721502304	avg_y_error: 5.44230698583	var_y_error: 0.378972707952
time: 13.8627170139	x_noise: 14.3104610443	avg_x_error: 13.2500277849	var_x_error: 3.20383229988	y_noise: 12.3511991501	avg_y_error: 8.06431539933	var_y_error: 0.75719375588
time: 15.1070572917	x_noise: 8.56053256989	avg_x_error: 13.5007436304	var_x_error: 17.1355098763	y_noise: 17.3310337067	avg_y_error: 8.02833005696	var_y_error: 0.698195535188
time: 17.5511545139	x_noise: 5.44173526764	avg_x_error: 6.49907000608	var_x_error: 2.10050854197	y_noise: 19.1838779449	avg_y_error: 10.7621179688	var_y_error: 1.40035085622
time: 18.7752517361	x_noise: 7.20275306702	avg_x_error: 5.28038341441	var_x_error: 0.218545767833	y_noise: 6.9768538475	avg_y_error: 5.62904843365	var_y_error: 0.319194638725
time: 20.0474392361	x_noise: 4.31925392151	avg_x_error: 3.32952947211	var_x_error: 0.0791184528503	y_noise: 6.5338177681	avg_y_error: 3.97145774346	var_y_error: 0.171104789815
time: 21.2795746528	x_noise: 8.72149467468	avg_x_error: 5.96419959132	var_x_error: 0.137223026079	y_noise: 15.5877304077	avg_y_error: 11.148144752	var_y_error: 0.107057044352
time: 22.5076649306	x_noise: 5.64250659943	avg_x_error: 14.4115895411	var_x_error: 190.537438936	y_noise: 8.90598964691	avg_y_error: 11.6857869663	var_y_error: 2.08589784719
time: 23.7798263889	x_noise: 14.8855772018	avg_x_error: 14.6326842178	var_x_error: 1.03020230014	y_noise: 31.2176113129	avg_y_error: 21.385714336	var_y_error: 0.773990310946
time: 25.0119965278	x_noise: 9.42663764954	avg_x_error: 9.24894729095	var_x_error: 0.7138528294	y_noise: 22.2185764313	avg_y_error: 23.2416288306	var_y_error: 61.6521160937
time: 26.2521006944	x_noise: 13.736164093	avg_x_error: 27.1591536805	var_x_error: 9.5832141781	y_noise: 21.7908859253	avg_y_error: 16.6887069747	var_y_error: 1.74908181464
time: 28.0843402778	x_noise: 23.8188552856	avg_x_error: 14.6589527275	var_x_error: 0.901334372737	y_noise: 16.9720115662	avg_y_error: 14.5805372096	var_y_error: 0.0145006167076
time: 29.2884027778	x_noise: 9.96337509155	avg_x_error: 5.07660243737	var_x_error: 0.924848060799	y_noise: 8.52799510956	avg_y_error: 12.5065427208	var_y_error: 2.10615589622
time: 30.5165711806	x_noise: 5.01785707474	avg_x_error: 3.32794370343	var_x_error: 0.184707231292	y_noise: 8.54410839081	avg_y_error: 6.23149357455	var_y_error: 0.146518346536
time: 31.7487152778	x_noise: 8.19072723389	avg_x_error: 7.69378953421	var_x_error: 0.887395456632	y_noise: 9.41664600372	avg_y_error: 10.6122843604	var_y_error: 1.96636815998
time: 33.0288715278	x_noise: 12.4186954498	avg_x_error: 12.00405649	var_x_error: 1.34652998922	y_noise: 14.0993928909	avg_y_error: 10.6779718716	var_y_error: 0.753468351124
time: 34.2730034722	x_noise: 14.3752126694	avg_x_error: 28.2290943459	var_x_error: 11.5348136639	y_noise: 21.3152542114	avg_y_error: 18.6381063997	var_y_error: 6.04981806579
time: 35.5732204861	x_noise: 13.4664258957	avg_x_error: 8.24684328672	var_x_error: 0.656739087617	y_noise: 26.8703098297	avg_y_error: 20.9811206237	var_y_error: 2.96277916407
