time: 8.07940104167	x_error: 6.31468076793	y_error: 19.3064828559
time: 8.10346354167	x_error: 0.971967516157	y_error: 3.20751169771
time: 8.12748263889	x_error: 0.191715760219	y_error: 0.0643717330611
time: 8.15140625	x_error: 0.24724608659	y_error: 0.0586193440977
time: 8.181328125	x_error: 25.4157877277	y_error: 0.718588731869
time: 8.19940972222	x_error: 0.200640996375	y_error: 0.0462694762233
time: 8.21940972222	x_error: 0.225724599914	y_error: 0.0673913511869
time: 8.23941840278	x_error: 0.532149785407	y_error: 0.46197344182
time: 8.26342013889	x_error: 42.5806967302	y_error: 8.71795203699
time: 8.28342013889	x_error: 0.241862802913	y_error: 0.0586793532745
time: 8.30349826389	x_error: 0.265778313369	y_error: 0.0700128157462
time: 8.32342013889	x_error: 62.6001284432	y_error: 31.7523194078
time: 8.35144097222	x_error: 71.5249279769	y_error: 31.2268332319
time: 8.37144097222	x_error: 0.173136262107	y_error: 0.0533508871396
time: 8.39544270833	x_error: 0.18902790848	y_error: 0.0527805156505
time: 8.41544270833	x_error: 0.189026945354	y_error: 0.0527784247334
time: 8.43544270833	x_error: 0.189047868309	y_error: 0.0527763468549
time: 8.45544270833	x_error: 40.7085698664	y_error: 0.0527936842581
time: 8.47545138889	x_error: 49.7409061794	y_error: 0.0527765931961
time: 8.49944444444	x_error: 0.189022949005	y_error: 0.214843077718
time: 8.51944444444	x_error: 0.189030211321	y_error: 0.0527895233017
time: 8.53944444444	x_error: 42.93487454	y_error: 31.9219258976
time: 8.559453125	x_error: 57.0036103478	y_error: 29.3785309461
time: 8.579453125	x_error: 0.189013774819	y_error: 0.776489152051
time: 8.59946180556	x_error: 0.18902757305	y_error: 0.0527763376493
time: 8.61946180556	x_error: 0.18900872853	y_error: 0.0527733517313
time: 8.639453125	x_error: 0.189016413772	y_error: 0.0527638728959
time: 8.65946180556	x_error: 40.4220027743	y_error: 0.0527759378184
time: 8.67946180556	x_error: 49.4543451839	y_error: 0.0527641192371
time: 8.70348090278	x_error: 0.189003722416	y_error: 0.0909134191298
time: 9.32360243056	x_error: 14.3861755794	y_error: 10.0934260512
time: 9.35153645833	x_error: 9.72849688187	y_error: 9.48481899208
time: 9.376015625	x_error: 4.90976514158	y_error: 8.08227141621
time: 9.39961805556	x_error: 4.88406777902	y_error: 7.68890044426
