time: 7.33621527778	x_error: 1.27157848029	y_error: 33.6594171117
time: 7.36307291667	x_error: 1.27141348463	y_error: 25.1705929847
time: 7.38714409722	x_error: 8.05729759548	y_error: 0.49454305912
time: 7.40709201389	x_error: 0.942129302573	y_error: 8.3576406838
time: 7.435078125	x_error: 10.1304660099	y_error: 10.3766059094
time: 7.46405381944	x_error: 12.714206763	y_error: 4.85756716601
time: 7.48309895833	x_error: 2.49109545223	y_error: 31.0808294872
time: 7.50317708333	x_error: 2.05762224771	y_error: 1.00530540727
time: 7.52710069444	x_error: 6.48035535813	y_error: 7.68168572637
time: 7.54710069444	x_error: 3.28087752124	y_error: 0.909162026943
time: 7.56710069444	x_error: 5.63408270473	y_error: 4.45704263102
time: 7.5871875	x_error: 2.30644281727	y_error: 0.901497985993
time: 7.607109375	x_error: 3.8146053163	y_error: 7.88934449923
time: 7.62711805556	x_error: 2.66119535422	y_error: 26.573290127
time: 7.647109375	x_error: 1.77914653612	y_error: 22.1837242006
time: 7.6671875	x_error: 1.80850996242	y_error: 22.3956205857
time: 7.687109375	x_error: 0.0377490958791	y_error: 0.576163957984
time: 7.70719618056	x_error: 1.501174911	y_error: 8.96734078177
time: 7.72711805556	x_error: 2.2900368375	y_error: 0.638494094536
time: 7.75111111111	x_error: 7.12470107791	y_error: 4.2328890891
time: 7.77111111111	x_error: 2.42166742079	y_error: 1.1274728463
time: 7.79111979167	x_error: 2.19924663477	y_error: 21.3423936935
time: 7.81111979167	x_error: 3.14063417008	y_error: 1.61421268779
time: 7.83112847222	x_error: 7.92448527827	y_error: 9.33705043042
time: 7.85112847222	x_error: 53.4523686781	y_error: 0.776988362635
time: 7.87112847222	x_error: 50.1079209404	y_error: 0.751897825934
time: 7.89112847222	x_error: 37.1790392406	y_error: 0.972320037386
time: 7.91113715278	x_error: 2.3331446996	y_error: 17.6735467548
time: 7.93113715278	x_error: 1.97207836792	y_error: 23.1515186432
time: 7.95780381944	x_error: 1.43062695937	y_error: 16.7764735985
time: 8.57921875	x_error: 1.00834265004	y_error: 0.455088486476
time: 8.60720486111	x_error: 18.8590745828	y_error: 30.4985893825
time: 8.63168402778	x_error: 1.22776831429	y_error: 0.510668559453
time: 8.65519965278	x_error: 1.52689055563	y_error: 0.440405969752
time: 8.67521701389	x_error: 342.431173055	y_error: 52.0906467756
time: 8.69521701389	x_error: 0.815986252856	y_error: 0.740291678445
time: 8.71542534722	x_error: 1.29118795888	y_error: 121.474358655
time: 8.73522569444	x_error: 86.2696877043	y_error: 219.932186398
time: 8.75522569444	x_error: 110.89999008	y_error: 258.921948142
time: 8.77924479167	x_error: 1.00811943682	y_error: 212.007872547
time: 8.79927083333	x_error: 1.00787822525	y_error: 0.455265295806
time: 8.82307291667	x_error: 1.00784660414	y_error: 131.482608187
time: 8.84324652778	x_error: 153.470988948	y_error: 34.8985791895
time: 8.87125	x_error: 1.00804969914	y_error: 323.426097333
time: 8.89131076389	x_error: 1.00842678447	y_error: 270.184755651
time: 8.91533854167	x_error: 33.8431080348	y_error: 33.9206442604
time: 8.93927083333	x_error: 36.943869758	y_error: 1.65218525915
time: 8.96285590278	x_error: 42.7593750725	y_error: 0.502364525568
time: 8.98325520833	x_error: 25.3419169514	y_error: 99.159387102
time: 9.00325520833	x_error: 27.491431536	y_error: 15.4882830388
time: 9.02325520833	x_error: 38.819653864	y_error: 21.5021438771
time: 9.050390625	x_error: 0.862600755878	y_error: 7.60420786853
