time: 5.99660590278	x_error: 59.2564362039	y_error: 12.6725464509
time: 6.02457465278	x_error: 12.4156790754	y_error: 8.3747638799
time: 6.04860243056	x_error: 0.163319670517	y_error: 30.4963965628
time: 6.08061631944	x_error: 15.0088147627	y_error: 6.37982648957
time: 6.11261284722	x_error: 7.98018071191	y_error: 4.24823096307
time: 6.13728298611	x_error: 0.185622441687	y_error: 0.460014621977
time: 6.15658854167	x_error: 11.6094224431	y_error: 0.70031524944
time: 6.17659722222	x_error: 5.44885107584	y_error: 10.2591992461
time: 6.200625	x_error: 6.23030092844	y_error: 0.0474715350203
time: 6.22060763889	x_error: 0.336160189279	y_error: 13.5078477355
time: 6.24065104167	x_error: 1.07528612458	y_error: 10.0404828702
time: 6.26059895833	x_error: 3.94610870287	y_error: 0.547228248441
time: 6.28059895833	x_error: 0.688721359263	y_error: 2.67315098094
time: 6.300625	x_error: 6.12460270315	y_error: 5.1367889797
time: 6.32066840278	x_error: 0.295184370947	y_error: 25.2373240267
time: 6.34060763889	x_error: 7.18752501859	y_error: 3.13524324142
time: 6.36063368056	x_error: 10.6925579973	y_error: 0.464970843776
time: 6.38061631944	x_error: 6.20610865831	y_error: 7.52708584671
time: 6.40061631944	x_error: 14.9829788297	y_error: 8.30785910272
time: 6.42461805556	x_error: 0.490387478222	y_error: 0.805651347855
time: 6.44464409722	x_error: 21.6002732131	y_error: 0.268424895861
time: 6.46461805556	x_error: 34.3684794328	y_error: 0.416051125838
time: 6.48462673611	x_error: 9.51937664405	y_error: 3.77263420416
time: 6.50463541667	x_error: 8.12284314092	y_error: 2.84306338655
time: 6.52463541667	x_error: 0.363686158275	y_error: 15.9486190862
time: 6.54467881944	x_error: 2.42905499476	y_error: 3.31781870663
time: 6.56464409722	x_error: 13.5020438283	y_error: 0.481980293716
time: 6.58467013889	x_error: 4.46287771523	y_error: 7.90222859995
time: 6.6046875	x_error: 1.07675218514	y_error: 4.45383611056
time: 6.62472222222	x_error: 4.86710660742	y_error: 1.59544034168
time: 7.25214409722	x_error: 11.0014650492	y_error: 19.5700295964
time: 7.27279513889	x_error: 6.33870771533	y_error: 6.58527868827
time: 7.29270833333	x_error: 0.988083697792	y_error: 75.921460684
time: 7.31271701389	x_error: 1.0411217124	y_error: 69.0478537849
time: 7.33271701389	x_error: 4.90770648443	y_error: 4.39943531487
time: 7.35274305556	x_error: 52.0845065936	y_error: 0.500356026621
time: 7.37280381944	x_error: 49.0230606905	y_error: 0.132801649803
time: 7.39275173611	x_error: 2.45874068618	y_error: 17.7450966895
