time: 8.05134548611	x_noise: 0	avg_x_error: 0	var_x_error: 0	y_noise: 0	avg_y_error: 0	var_y_error: 0
time: 9.30348090278	x_noise: 4.70203971863	avg_x_error: 10.8573420291	var_x_error: 2.10765633751	y_noise: 4.18117856979	avg_y_error: 4.40578394979	var_y_error: 0.344779772155
time: 10.5557204861	x_noise: 27.0381450653	avg_x_error: 21.4988133078	var_x_error: 3.68674940154	y_noise: 9.90337371826	avg_y_error: 11.8762870472	var_y_error: 2.37969666939
time: 13.6039670139	x_noise: 16.6326751709	avg_x_error: 8.58055945336	var_x_error: 0.0724335522628	y_noise: 15.271068573	avg_y_error: 6.84549324663	var_y_error: 0.0359400461947
time: 14.844140625	x_noise: 11.5839309692	avg_x_error: 8.49533049997	var_x_error: 1.12528174511	y_noise: 7.41917991638	avg_y_error: 5.75996876944	var_y_error: 0.598867260399
time: 16.0882552083	x_noise: 14.1570215225	avg_x_error: 8.06283999287	var_x_error: 0.320104024467	y_noise: 7.45472717285	avg_y_error: 6.84357917215	var_y_error: 0.510741593299
time: 19.1285590278	x_noise: 16.3400917053	avg_x_error: 13.728007875	var_x_error: 0.0203022434578	y_noise: 9.84755897522	avg_y_error: 3.12496628228	var_y_error: 0.0474654148595
time: 20.9527690972	x_noise: 9.30216121674	avg_x_error: 6.97396739643	var_x_error: 0.11314783138	y_noise: 5.76505279541	avg_y_error: 4.10140910271	var_y_error: 0.044504894696
time: 22.172890625	x_noise: 7.32133674622	avg_x_error: 7.79033565059	var_x_error: 1.05647100368	y_noise: 3.72620153427	avg_y_error: 3.84909631724	var_y_error: 0.658291420068
time: 24.0052256944	x_noise: 29.4694843292	avg_x_error: 15.5540030029	var_x_error: 2.79561654523	y_noise: 6.03518009186	avg_y_error: 6.55036044054	var_y_error: 0.489797900464
time: 25.2253038194	x_noise: 110.517150879	avg_x_error: 66.559355032	var_x_error: 39.4442108104	y_noise: 86.166809082	avg_y_error: 90.7552238696	var_y_error: 80.8480475969
time: 27.6415538194	x_noise: 42.6826629639	avg_x_error: 19.3102197697	var_x_error: 0.412773261188	y_noise: 59.9398422241	avg_y_error: 37.6509915748	var_y_error: 4.9782621686
