time: 9.97846354167	x_error: 6.79188688672	y_error: 4.56920406556
time: 10.0051475694	x_error: 117.861715038	y_error: 0.465465427983
time: 10.0424305556	x_error: 1.70420948924	y_error: 53.9348150582
time: 10.0682986111	x_error: 94.1792098879	y_error: 0.227061339915
time: 10.0984461806	x_error: 0.949136245161	y_error: 0.307582657075
time: 10.1188975694	x_error: 141.201466765	y_error: 0.330293449384
time: 10.1384548611	x_error: 1.60011365196	y_error: 0.430960229322
time: 10.1584548611	x_error: 32.3586145876	y_error: 65.3000304055
time: 10.1824479167	x_error: 15.169863505	y_error: 3.14233274028
time: 10.2024479167	x_error: 5.5309573886	y_error: 6.26103520701
time: 10.2224479167	x_error: 16.5311555967	y_error: 2.67050656224
time: 10.2424479167	x_error: 91.5143398033	y_error: 0.757080687789
time: 10.2624479167	x_error: 36.2154355751	y_error: 4.80339976295
time: 10.2824565972	x_error: 18.624979564	y_error: 6.24470860159
time: 10.3024565972	x_error: 10.3423477415	y_error: 10.5517291758
time: 10.3224652778	x_error: 14.2846982257	y_error: 10.6753893811
time: 10.3424565972	x_error: 102.714413964	y_error: 1.22400340596
time: 10.3624565972	x_error: 23.3266916436	y_error: 0.366631363697
time: 10.3824652778	x_error: 102.748539013	y_error: 0.444813302541
time: 10.4064670139	x_error: 40.6410754933	y_error: 0.668898487228
time: 10.4264756944	x_error: 85.4054982058	y_error: 0.482046194498
time: 10.4465364583	x_error: 13.2248989485	y_error: 5.69912107002
time: 10.466484375	x_error: 24.1811673289	y_error: 9.00910935869
time: 10.4864756944	x_error: 76.8309072433	y_error: 2.05576014128
time: 10.506484375	x_error: 18.7411037792	y_error: 1.78213605299
time: 10.526484375	x_error: 17.7824415489	y_error: 8.19649243219
time: 10.546484375	x_error: 6.44724489249	y_error: 4.06551840885
time: 10.566484375	x_error: 27.5510769417	y_error: 4.90763330862
time: 10.5864930556	x_error: 19.5531647457	y_error: 12.3969410555
time: 10.6065017361	x_error: 4.6404071622	y_error: 14.5308715374
time: 11.2265711806	x_error: 33.8975351591	y_error: 5.96219050816
time: 11.2505642361	x_error: 6.0999344572	y_error: 1.9508200265
time: 11.2750347222	x_error: 6.60840526929	y_error: 8.80171326738
time: 11.2985590278	x_error: 5.79745116488	y_error: 0.941955267097
time: 11.3185763889	x_error: 60.6816506617	y_error: 0.531626351051
time: 11.3385763889	x_error: 5.59288912451	y_error: 8.92469677349
time: 11.3585763889	x_error: 17.4017630706	y_error: 28.5037675043
time: 11.3786545139	x_error: 3.21662156658	y_error: 5.9982669491
time: 11.3988975694	x_error: 12.905132777	y_error: 3.2885119682
time: 11.4186979167	x_error: 8.21393389826	y_error: 24.2246004315
time: 11.4385850694	x_error: 42.861469113	y_error: 24.5271875249
time: 11.45859375	x_error: 18.4700082844	y_error: 1.27192284744
time: 11.4785850694	x_error: 11.3970599298	y_error: 9.51593238655
time: 11.4987760417	x_error: 73.0711906798	y_error: 5.79432762933
time: 11.5185850694	x_error: 11.0667122471	y_error: 0.561546611529
time: 11.5385850694	x_error: 121.561365432	y_error: 0.466558947461
