time: 7.311015625	x_noise: 0	avg_x_error: 0	var_x_error: 0	y_noise: 0	avg_y_error: 0	var_y_error: 0
time: 8.55923611111	x_noise: 9.49429512024	avg_x_error: 8.09033243648	var_x_error: 0.821327352628	y_noise: 8.12548542023	avg_y_error: 8.78085413633	var_y_error: 1.1838876034
time: 9.83934027778	x_noise: 35.7886619568	avg_x_error: 30.3175493458	var_x_error: 0.242677775213	y_noise: 30.5184402466	avg_y_error: 46.3394513893	var_y_error: 9.42277396977
time: 11.0754253472	x_noise: 25.2068462372	avg_x_error: 16.2556390308	var_x_error: 3.61990067171	y_noise: 21.9159183502	avg_y_error: 22.9800161348	var_y_error: 6.99096647971
time: 12.895625	x_noise: 17.4876651764	avg_x_error: 7.8633347856	var_x_error: 0.63747828014	y_noise: 30.3375492096	avg_y_error: 13.5303641458	var_y_error: 0.984025235147
time: 14.1438368056	x_noise: 15.6100053787	avg_x_error: 12.7865649807	var_x_error: 0.000244885164018	y_noise: 19.763217926	avg_y_error: 15.8044422157	var_y_error: 0.243168894523
time: 19.6123784722	x_noise: 54.0767250061	avg_x_error: 34.6741948214	var_x_error: 0.634158005808	y_noise: 52.2348403931	avg_y_error: 32.5629953686	var_y_error: 0.0853771035129
time: 20.8359288194	x_noise: 14.1993103027	avg_x_error: 17.3530282251	var_x_error: 5.42307680184	y_noise: 4.42560911179	avg_y_error: 10.9280816406	var_y_error: 2.13632119912
time: 22.6687065972	x_noise: 16.9870929718	avg_x_error: 17.4161986861	var_x_error: 3.46666592055	y_noise: 20.8961486816	avg_y_error: 13.2124533249	var_y_error: 0.641711308573
time: 23.8930121528	x_noise: 41.1919403076	avg_x_error: 31.3283722638	var_x_error: 3.409908036	y_noise: 30.9205703735	avg_y_error: 19.0637314873	var_y_error: 0.674432927646
time: 25.1369878472	x_noise: 22.2777309418	avg_x_error: 23.7178082969	var_x_error: 9.38222109499	y_noise: 27.1783428192	avg_y_error: 34.6677186125	var_y_error: 494.486435379
time: 26.3891145833	x_noise: 24.1522731781	avg_x_error: 20.6975130369	var_x_error: 5.32961487937	y_noise: 34.0009422302	avg_y_error: 32.7308977566	var_y_error: 12.7660577946
time: 27.6212586806	x_noise: 15.1875200272	avg_x_error: 21.1659799651	var_x_error: 0.474101046958	y_noise: 23.3740367889	avg_y_error: 13.7434838278	var_y_error: 2.31649346571
