time: 9.954375	x_noise: 0	avg_x_error: 0	var_x_error: 0	y_noise: 0	avg_y_error: 0	var_y_error: 0
time: 11.2065017361	x_noise: 32.2693748474	avg_x_error: 32.2266471675	var_x_error: 14.0926044006	y_noise: 12.4810638428	avg_y_error: 8.49807283816	var_y_error: 0.673975187887
time: 12.5026996528	x_noise: 13.7709722519	avg_x_error: 17.8954631034	var_x_error: 1.91167641484	y_noise: 9.47850131989	avg_y_error: 7.40641264355	var_y_error: 43.8487250093
time: 13.7468315972	x_noise: 15.1234750748	avg_x_error: 11.3099666351	var_x_error: 1.9425504484	y_noise: 9.67838668823	avg_y_error: 9.52568354365	var_y_error: 1.23472018346
time: 19.2594444444	x_noise: 52.5924797058	avg_x_error: 22.5079017801	var_x_error: 0.385374215665	y_noise: 30.2311935425	avg_y_error: 15.4073258269	var_y_error: 1.09357721149
time: 21.08359375	x_noise: 21.5923690796	avg_x_error: 14.9031087471	var_x_error: 1.34012906598	y_noise: 22.2511291504	avg_y_error: 14.9568854774	var_y_error: 0.271587253675
time: 22.3077604167	x_noise: 4.87641859055	avg_x_error: 13.490708776	var_x_error: 405.96364889	y_noise: 6.5206823349	avg_y_error: 11.4425857931	var_y_error: 1516.41558632
time: 24.1239322917	x_noise: 21.5726909637	avg_x_error: 13.5300482595	var_x_error: 0.922388951844	y_noise: 71.7460250854	avg_y_error: 19.6614498657	var_y_error: 0.000218842145102
time: 25.3520572917	x_noise: 22.5940227509	avg_x_error: 14.1999029645	var_x_error: 3.58555543856	y_noise: 10.1921272278	avg_y_error: 12.0143315435	var_y_error: 5.9025670672
time: 26.588203125	x_noise: 27.2737369537	avg_x_error: 10.6192571985	var_x_error: 1.84317670401	y_noise: 9.12929821014	avg_y_error: 5.97858544118	var_y_error: 0.636662095251
time: 27.8363368056	x_noise: 16.2766246796	avg_x_error: 22.652446356	var_x_error: 9.45886192202	y_noise: 50.9157676697	avg_y_error: 58.2595814652	var_y_error: 3.75135735188
time: 29.0844704861	x_noise: 48.2901649475	avg_x_error: 43.8471081547	var_x_error: 0.517290982561	y_noise: 22.9525814056	avg_y_error: 22.4590792151	var_y_error: 1.25529418191
time: 30.3606076389	x_noise: 28.2921485901	avg_x_error: 27.4374681955	var_x_error: 4.87698438968e-05	y_noise: 21.8783569336	avg_y_error: 22.5545133469	var_y_error: 2.96049236355
time: 31.6047482639	x_noise: 20.8961372375	avg_x_error: 21.0690555455	var_x_error: 32.6323002407	y_noise: 26.1067371368	avg_y_error: 18.4007804066	var_y_error: 4.6523573845
time: 32.8729513889	x_noise: 14.725944519	avg_x_error: 7.7079549539	var_x_error: 0.207873768838	y_noise: 24.6144866943	avg_y_error: 27.6129729349	var_y_error: 6.18725471234
time: 34.7691579861	x_noise: 29.2112369537	avg_x_error: 14.7063150622	var_x_error: 2.30226216253	y_noise: 10.4650402069	avg_y_error: 5.64163010163	var_y_error: 0.0421236197947
time: 36.0052604167	x_noise: 4.42438220978	avg_x_error: 3.80167418145	var_x_error: 7.24361818168	y_noise: 4.78600025177	avg_y_error: 6.86717858565	var_y_error: 0.776833294925
time: 37.2973697917	x_noise: 17.4697036743	avg_x_error: 11.6179763716	var_x_error: 19.6146643789	y_noise: 9.88427639008	avg_y_error: 8.76743681009	var_y_error: 0.797478392659
time: 38.5655208333	x_noise: 13.2540788651	avg_x_error: 9.471564071	var_x_error: 1.37683071616	y_noise: 12.1905260086	avg_y_error: 11.9275244797	var_y_error: 0.447685740454
time: 39.7896440972	x_noise: 11.0863742828	avg_x_error: 20.1912331967	var_x_error: 7.17288017272	y_noise: 6.67939567566	avg_y_error: 7.23651623111	var_y_error: 13.6996311697
time: 41.0738194444	x_noise: 20.9226570129	avg_x_error: 34.2196705146	var_x_error: 10.6743815609	y_noise: 16.1189613342	avg_y_error: 9.18133454368	var_y_error: 0.262535541704
time: 42.3179253472	x_noise: 18.7763729095	avg_x_error: 23.7734363124	var_x_error: 29.7970721775	y_noise: 8.949883461	avg_y_error: 4.8848174348	var_y_error: 0.365499010554
time: 43.5701215278	x_noise: 12.8378744125	avg_x_error: 10.5128460586	var_x_error: 0.0423276674731	y_noise: 8.12078380585	avg_y_error: 6.06297356257	var_y_error: 0.66843085929
time: 44.8262326389	x_noise: 10.0703620911	avg_x_error: 7.71292453885	var_x_error: 0.319725855619	y_noise: 9.73987007141	avg_y_error: 13.1443184306	var_y_error: 0.187457494968
time: 46.0903385417	x_noise: 7.91143655777	avg_x_error: 6.36087815053	var_x_error: 0.72409567569	y_noise: 8.610039711	avg_y_error: 7.11334160353	var_y_error: 1.91531602082
time: 47.3264756944	x_noise: 4.25486946106	avg_x_error: 3.83412144149	var_x_error: 0.22953423723	y_noise: 4.62064313889	avg_y_error: 11.2518017703	var_y_error: 0.00656477571947
time: 49.2026736111	x_noise: 9.41872215271	avg_x_error: 11.3865893001	var_x_error: 3.56313898099	y_noise: 13.5017995834	avg_y_error: 6.00948992246	var_y_error: 1.36069776215
time: 50.486875	x_noise: 7.42540121078	avg_x_error: 7.93036780354	var_x_error: 1.07345486868	y_noise: 5.47735261917	avg_y_error: 7.2664095022	var_y_error: 0.936175226997
time: 51.7549565972	x_noise: 7.9923658371	avg_x_error: 25.7201739939	var_x_error: 6.62689131632	y_noise: 16.5337791443	avg_y_error: 28.4378145323	var_y_error: 14.3257335033
time: 52.9950954861	x_noise: 19.5211620331	avg_x_error: 36.6385532971	var_x_error: 14.3716730528	y_noise: 35.1886520386	avg_y_error: 23.9840071855	var_y_error: 9.99494190505
time: 54.2672916667	x_noise: 9.18177509308	avg_x_error: 12.2483110952	var_x_error: 10.7949391279	y_noise: 8.58049201965	avg_y_error: 12.9518288226	var_y_error: 2.79534323156
time: 55.5233767361	x_noise: 10.8549823761	avg_x_error: 10.2342808712	var_x_error: 27.9197368158	y_noise: 16.5930156708	avg_y_error: 12.4842984784	var_y_error: 0.0041954952333
time: 56.7715104167	x_noise: 11.7462711334	avg_x_error: 13.5518238681	var_x_error: 4.04292667835	y_noise: 10.065536499	avg_y_error: 9.23222068968	var_y_error: 0.68870364515
time: 58.0516493056	x_noise: 17.7370109558	avg_x_error: 18.0089045597	var_x_error: 5.9186801876	y_noise: 20.1597919464	avg_y_error: 19.8608616072	var_y_error: 7.24639767071
time: 61.7680555556	x_noise: 36.1996498108	avg_x_error: 15.7818401022	var_x_error: 0.318480342439	y_noise: 33.4159736633	avg_y_error: 27.4804274747	var_y_error: 0.388970554656
time: 62.9962152778	x_noise: 7.3877248764	avg_x_error: 8.3862667512	var_x_error: 64.222668167	y_noise: 5.39641523361	avg_y_error: 7.11619233605	var_y_error: 0.888014596927
time: 64.2483333333	x_noise: 36.2863807678	avg_x_error: 34.8632356173	var_x_error: 17.5716657687	y_noise: 33.6935043335	avg_y_error: 29.3028239882	var_y_error: 1376.49551591
