time: 7.47962673611	x_error: 0.000512592011887	y_error: 0.000512592011887
time: 7.51151041667	x_error: 0.000568633656485	y_error: 0.000568633656485
time: 7.53223958333	x_error: 0.000605069117228	y_error: 0.000605069117228
time: 7.55145833333	x_error: 0.000638849732809	y_error: 0.000638849732809
time: 7.57144965278	x_error: 0.000673988286394	y_error: 0.000673988286394
time: 7.59145833333	x_error: 0.000709157355459	y_error: 0.000709157355459
time: 7.61146701389	x_error: 0.000744326424524	y_error: 0.000744326424524
time: 7.63145833333	x_error: 0.000779464978109	y_error: 0.000779464978109
time: 7.65546875	x_error: 0.000821667860919	y_error: 0.000821667860919
time: 7.67546875	x_error: 0.000856821672301	y_error: 0.000856821672301
time: 7.695546875	x_error: 0.000892112803172	y_error: 0.000892112803172
time: 7.71546875	x_error: 0.000927129294951	y_error: 0.000927129294951
time: 7.73547743056	x_error: 0.000962298364016	y_error: 0.000962298364016
time: 7.75547743056	x_error: 0.000997452175397	y_error: 0.000997452175397
time: 7.77547743056	x_error: 0.00103260598667	y_error: 0.00103260598667
time: 7.79980034722	x_error: 0.00107535814789	y_error: 0.00107535814789
time: 7.81948784722	x_error: 0.00110996268086	y_error: 0.00110996268086
time: 7.83949652778	x_error: 0.00114513174992	y_error: 0.00114513174992
time: 7.85949652778	x_error: 0.0011802855613	y_error: 0.0011802855613
time: 7.88348958333	x_error: 0.00122245792875	y_error: 0.00122245792875
time: 7.90348958333	x_error: 0.00125761174002	y_error: 0.00125761174002
time: 7.92349826389	x_error: 0.00129278080908	y_error: 0.00129278080908
time: 7.94349826389	x_error: 0.00132793462046	y_error: 0.00132793462046
time: 7.96349826389	x_error: 0.00136308843173	y_error: 0.00136308843173
time: 7.98349826389	x_error: 0.00139824224311	y_error: 0.00139824224311
time: 8.00350694444	x_error: 0.00143341131218	y_error: 0.00143341131218
time: 8.02349826389	x_error: 0.00146854986576	y_error: 0.00146854986576
time: 8.04350694444	x_error: 0.00150371893483	y_error: 0.00150371893483
time: 8.06350694444	x_error: 0.0015388727461	y_error: 0.0015388727461
time: 8.09151909722	x_error: 0.00158810944288	y_error: 0.00158810944288
time: 8.11151909722	x_error: 0.00162326325415	y_error: 0.00162326325415
time: 8.13152777778	x_error: 0.00165843232321	y_error: 0.00165843232321
time: 8.15151909722	x_error: 0.0016935708768	y_error: 0.0016935708768
time: 8.17152777778	x_error: 0.00172873994586	y_error: 0.00172873994586
time: 8.19152777778	x_error: 0.00176389375724	y_error: 0.00176389375724
time: 8.21152777778	x_error: 0.00179904756851	y_error: 0.00179904756851
time: 8.23152777778	x_error: 0.00183420137989	y_error: 0.00183420137989
time: 8.25152777778	x_error: 0.00186935519127	y_error: 0.00186935519127
time: 8.27161458333	x_error: 0.00190466157983	y_error: 0.00190466157983
time: 8.29153645833	x_error: 0.00193967807161	y_error: 0.00193967807161
time: 8.31153645833	x_error: 0.00197483188299	y_error: 0.00197483188299
time: 8.33153645833	x_error: 0.00200998569426	y_error: 0.00200998569426
time: 8.35152777778	x_error: 0.00204512424784	y_error: 0.00204512424784
time: 8.37153645833	x_error: 0.00208029331691	y_error: 0.00208029331691
time: 8.39154513889	x_error: 0.00211546238597	y_error: 0.00211546238597
time: 8.41159722222	x_error: 0.00215070774368	y_error: 0.00215070774368
time: 8.43154513889	x_error: 0.00218577000862	y_error: 0.00218577000862
time: 8.45154513889	x_error: 0.00222092382	y_error: 0.00222092382
time: 8.47154513889	x_error: 0.00225607763139	y_error: 0.00225607763139
time: 8.49155381944	x_error: 0.00229124670045	y_error: 0.00229124670045
time: 8.51155381944	x_error: 0.00232640051172	y_error: 0.00232640051172
time: 8.53155381944	x_error: 0.0023615543231	y_error: 0.0023615543231
time: 8.55155381944	x_error: 0.00239670813437	y_error: 0.00239670813437
time: 8.5715625	x_error: 0.00243187720343	y_error: 0.00243187720343
time: 8.59157118056	x_error: 0.0024670462725	y_error: 0.0024670462725
time: 8.61157118056	x_error: 0.00250220008388	y_error: 0.00250220008388
time: 8.63157986111	x_error: 0.00253736915295	y_error: 0.00253736915295
time: 8.65157118056	x_error: 0.00257250770653	y_error: 0.00257250770653
time: 8.67159722222	x_error: 0.00260770729108	y_error: 0.00260770729108
time: 8.6915625	x_error: 0.0026428000715	y_error: 0.0026428000715
time: 8.71160590278	x_error: 0.00267803017141	y_error: 0.00267803017141
time: 8.7315625	x_error: 0.00271310769415	y_error: 0.00271310769415
time: 8.75169270833	x_error: 0.00274849037135	y_error: 0.00274849037135
time: 8.77164930556	x_error: 0.00278356789408	y_error: 0.00278356789408
time: 8.79159722222	x_error: 0.00281863015903	y_error: 0.00281863015903
time: 8.81157118056	x_error: 0.00285373819713	y_error: 0.00285373819713
time: 8.83160590278	x_error: 0.00288895303947	y_error: 0.00288895303947
time: 8.85157118056	x_error: 0.00292404581978	y_error: 0.00292404581978
time: 8.87525173611	x_error: 0.00296566890893	y_error: 0.00296566890893
time: 8.89561631944	x_error: 0.00300146354493	y_error: 0.00300146354493
time: 8.91559895833	x_error: 0.00303658684084	y_error: 0.00303658684084
time: 8.93560763889	x_error: 0.0030717559099	y_error: 0.0030717559099
time: 8.95560763889	x_error: 0.00310690972117	y_error: 0.00310690972117
time: 8.97560763889	x_error: 0.00314206353255	y_error: 0.00314206353255
time: 8.99577256944	x_error: 0.00317750724082	y_error: 0.00317750724082
time: 9.01561631944	x_error: 0.003212386413	y_error: 0.003212386413
time: 9.03561631944	x_error: 0.00324754022427	y_error: 0.00324754022427
time: 9.05561631944	x_error: 0.00328269403565	y_error: 0.00328269403565
time: 9.075625	x_error: 0.00331786310471	y_error: 0.00331786310471
time: 9.095625	x_error: 0.00335301691598	y_error: 0.00335301691598
time: 9.115625	x_error: 0.00338817072736	y_error: 0.00338817072736
time: 9.13563368056	x_error: 0.00342333979643	y_error: 0.00342333979643
time: 9.155625	x_error: 0.00345847835001	y_error: 0.00345847835001
time: 9.17564236111	x_error: 0.00349366267676	y_error: 0.00349366267676
time: 9.19563368056	x_error: 0.00352880123035	y_error: 0.00352880123035
time: 9.21563368056	x_error: 0.00356395504173	y_error: 0.00356395504173
time: 9.23564236111	x_error: 0.00359912411079	y_error: 0.00359912411079
time: 9.25564236111	x_error: 0.00363427792217	y_error: 0.00363427792217
time: 9.27564236111	x_error: 0.00366943173344	y_error: 0.00366943173344
time: 9.29564236111	x_error: 0.00370458554482	y_error: 0.00370458554482
time: 9.31565104167	x_error: 0.00373975461389	y_error: 0.00373975461389
time: 9.33565104167	x_error: 0.00377490842516	y_error: 0.00377490842516
time: 9.35565104167	x_error: 0.00381006223654	y_error: 0.00381006223654
time: 9.37565104167	x_error: 0.00384521604781	y_error: 0.00384521604781
time: 9.39565104167	x_error: 0.00388036985919	y_error: 0.00388036985919
time: 9.41565972222	x_error: 0.00391553892825	y_error: 0.00391553892825
time: 9.43565972222	x_error: 0.00395069273952	y_error: 0.00395069273952
time: 9.45565972222	x_error: 0.0039858465509	y_error: 0.0039858465509
time: 9.47566840278	x_error: 0.00402101561997	y_error: 0.00402101561997
time: 9.49566840278	x_error: 0.00405616943135	y_error: 0.00405616943135
time: 9.51566840278	x_error: 0.00409132324262	y_error: 0.00409132324262
time: 9.5396875	x_error: 0.00413354138323	y_error: 0.00413354138323
time: 9.56134548611	x_error: 0.00417160942106	y_error: 0.00417160942106
time: 9.5796875	x_error: 0.00420384900588	y_error: 0.00420384900588
time: 9.599765625	x_error: 0.00423914013686	y_error: 0.00423914013686
time: 9.623671875	x_error: 0.0042811599269	y_error: 0.0042811599269
time: 9.64368923611	x_error: 0.00431634425365	y_error: 0.00431634425365
time: 9.66368055556	x_error: 0.00435148280735	y_error: 0.00435148280735
time: 9.68368923611	x_error: 0.00438665187642	y_error: 0.00438665187642
time: 9.70370659722	x_error: 0.00442183620316	y_error: 0.00442183620316
time: 9.72368923611	x_error: 0.00445695949907	y_error: 0.00445695949907
time: 9.75171006944	x_error: 0.00450621145342	y_error: 0.00450621145342
time: 9.77176215278	x_error: 0.00454145681113	y_error: 0.00454145681113
time: 9.795703125	x_error: 0.00458353763224	y_error: 0.00458353763224
time: 9.81572916667	x_error: 0.00461873721667	y_error: 0.00461873721667
time: 9.83578125	x_error: 0.00465398257438	y_error: 0.00465398257438
time: 9.86209201389	x_error: 0.00470022875595	y_error: 0.00470022875595
time: 9.89003472222	x_error: 0.00474934339081	y_error: 0.00474934339081
time: 9.91577256944	x_error: 0.004794582562	y_error: 0.004794582562
time: 9.93572048611	x_error: 0.00482964482694	y_error: 0.00482964482694
time: 9.959765625	x_error: 0.00487190874082	y_error: 0.00487190874082
time: 9.99173611111	x_error: 0.00492810296259	y_error: 0.00492810296259
time: 10.01171875	x_error: 0.0049632262585	y_error: 0.0049632262585
time: 10.03296875	x_error: 0.00500057718307	y_error: 0.00500057718307
time: 10.0517447917	x_error: 0.00503357965431	y_error: 0.00503357965431
time: 10.0717361111	x_error: 0.00506871820801	y_error: 0.00506871820801
time: 10.0935329861	x_error: 0.00510703036957	y_error: 0.00510703036957
time: 10.1117795139	x_error: 0.0051391021193	y_error: 0.0051391021193
time: 10.1357552083	x_error: 0.00518124397126	y_error: 0.00518124397126
