time: 6.82393229167	x_noise: 0	avg_x_error: 0	var_x_error: 0	y_noise: 0	avg_y_error: 0	var_y_error: 0
time: 8.05604166667	x_noise: 1.0	avg_x_error: 2.88657561106	var_x_error: 0.591128365518	y_noise: 1.0	avg_y_error: 2.88657561106	var_y_error: 0.591128365518
time: 9.27620659722	x_noise: 1.0	avg_x_error: 0.34373889856	var_x_error: 0.00129512713048	y_noise: 1.0	avg_y_error: 0.34373889856	var_y_error: 0.00129512713048
time: 10.5523350694	x_noise: 1.0	avg_x_error: 0.912584294932	var_x_error: 0.000768651364891	y_noise: 1.0	avg_y_error: 0.912584294932	var_y_error: 0.000768651364891
time: 11.7724739583	x_noise: 1.0	avg_x_error: 10.9092246085	var_x_error: 22.8470396287	y_noise: 1.0	avg_y_error: 10.9092246085	var_y_error: 22.8470396287
time: 13.0311892361	x_noise: 1.0	avg_x_error: 0.421110216648	var_x_error: 1.00906925861e-05	y_noise: 1.0	avg_y_error: 0.421110216648	var_y_error: 1.00906925861e-05
time: 14.2407552083	x_noise: 1.0	avg_x_error: 2.8099544297	var_x_error: 0.754221373827	y_noise: 1.0	avg_y_error: 2.8099544297	var_y_error: 0.754221373827
time: 15.4768576389	x_noise: 1.0	avg_x_error: 0.778531908816	var_x_error: 0.012152485558	y_noise: 1.0	avg_y_error: 0.778531908816	var_y_error: 0.012152485558
time: 16.7130295139	x_noise: 1.0	avg_x_error: 0.207886009457	var_x_error: 0.000785306236482	y_noise: 1.0	avg_y_error: 0.207886009457	var_y_error: 0.000785306236482
time: 17.9411284722	x_noise: 1.0	avg_x_error: 3.65187781263	var_x_error: 1.6541061875	y_noise: 1.0	avg_y_error: 3.65187781263	var_y_error: 1.6541061875
time: 19.1812673611	x_noise: 1.0	avg_x_error: 0.311260377323	var_x_error: 0.000310783250267	y_noise: 1.0	avg_y_error: 0.311260377323	var_y_error: 0.000310783250267
time: 20.4336111111	x_noise: 1.0	avg_x_error: 1.66377589838	var_x_error: 0.07506363581	y_noise: 1.0	avg_y_error: 1.66377589838	var_y_error: 0.07506363581
time: 21.6735329861	x_noise: 1.0	avg_x_error: 1.18535549338	var_x_error: 0.249982987149	y_noise: 1.0	avg_y_error: 1.18535549338	var_y_error: 0.249982987149
time: 22.9416840278	x_noise: 1.0	avg_x_error: 0.191163299939	var_x_error: 0.00066710661708	y_noise: 1.0	avg_y_error: 0.191163299939	var_y_error: 0.00066710661708
time: 24.373828125	x_noise: 1.0	avg_x_error: 2.76208776431	var_x_error: 0.49441189924	y_noise: 1.0	avg_y_error: 2.76208776431	var_y_error: 0.49441189924
time: 25.793984375	x_noise: 1.0	avg_x_error: 0.370014183345	var_x_error: 0.000375453107013	y_noise: 1.0	avg_y_error: 0.370014183345	var_y_error: 0.000375453107013
time: 27.2141493056	x_noise: 1.0	avg_x_error: 0.942282780673	var_x_error: 0.000479177202083	y_noise: 1.0	avg_y_error: 0.942282780673	var_y_error: 0.000479177202083
time: 28.5902951389	x_noise: 1.0	avg_x_error: 13.2632347984	var_x_error: 31.3759591855	y_noise: 1.0	avg_y_error: 13.2632347984	var_y_error: 31.3759591855
