time: 9.42237847222	x_error: 0.00938234479679	y_error: 0.00938234479679
time: 9.44643229167	x_error: 0.0101300475903	y_error: 0.0101300475903
time: 9.47045138889	x_error: 0.0108766710583	y_error: 0.0108766710583
time: 9.49837673611	x_error: 0.0117447186537	y_error: 0.0117447186537
time: 9.51837673611	x_error: 0.0123664101861	y_error: 0.0123664101861
time: 9.53838541667	x_error: 0.01298837155	y_error: 0.01298837155
time: 9.55837673611	x_error: 0.013609793251	y_error: 0.013609793251
time: 9.57838541667	x_error: 0.0142317546148	y_error: 0.0142317546148
time: 9.60240451389	x_error: 0.0149783780828	y_error: 0.0149783780828
time: 9.62239583333	x_error: 0.0155997997839	y_error: 0.0155997997839
time: 9.64239583333	x_error: 0.0162214913163	y_error: 0.0162214913163
time: 9.66375	x_error: 0.0168852765462	y_error: 0.0168852765462
time: 9.68240451389	x_error: 0.0174651442126	y_error: 0.0174651442126
time: 9.70240451389	x_error: 0.018086835745	y_error: 0.018086835745
time: 9.72240451389	x_error: 0.0187085272775	y_error: 0.0187085272775
time: 9.74247395833	x_error: 0.019332377461	y_error: 0.019332377461
time: 9.76256076389	x_error: 0.0199567673073	y_error: 0.0199567673073
time: 9.78241319444	x_error: 0.0205738717061	y_error: 0.0205738717061
time: 9.80241319444	x_error: 0.0211955632385	y_error: 0.0211955632385
time: 9.82640625	x_error: 0.0219413772123	y_error: 0.0219413772123
time: 9.84641493056	x_error: 0.0225633385762	y_error: 0.0225633385762
time: 9.86641493056	x_error: 0.0231850301086	y_error: 0.0231850301086
time: 9.88641493056	x_error: 0.023806721641	y_error: 0.023806721641
time: 9.90641493056	x_error: 0.0244284131735	y_error: 0.0244284131735
time: 9.92641493056	x_error: 0.0250501047059	y_error: 0.0250501047059
time: 9.94643229167	x_error: 0.0256723359012	y_error: 0.0256723359012
time: 9.96646701389	x_error: 0.0262951067591	y_error: 0.0262951067591
time: 9.98642361111	x_error: 0.0269154491345	y_error: 0.0269154491345
time: 10.0064236111	x_error: 0.0275371406671	y_error: 0.0275371406671
time: 10.0264322917	x_error: 0.0281591020308	y_error: 0.0281591020308
time: 10.0464322917	x_error: 0.0287807935633	y_error: 0.0287807935633
time: 10.0664409722	x_error: 0.0294027549271	y_error: 0.0294027549271
time: 10.0864409722	x_error: 0.0300244464596	y_error: 0.0300244464596
time: 10.1064496528	x_error: 0.0306464078234	y_error: 0.0306464078234
time: 10.1264409722	x_error: 0.0312678295244	y_error: 0.0312678295244
time: 10.1464409722	x_error: 0.0318895210569	y_error: 0.0318895210569
time: 10.1664409722	x_error: 0.0325112125893	y_error: 0.0325112125893
