time: 6.84802951389	x_error: 0.279538573784	y_error: 0.279538573784
time: 6.87595486111	x_error: 0.509821995262	y_error: 0.509821995262
time: 6.90068576389	x_error: 4.07692605739	y_error: 4.07692605739
time: 6.92404513889	x_error: 2.5933313178	y_error: 2.5933313178
time: 6.94399305556	x_error: 2.28545512653	y_error: 2.28545512653
time: 6.964140625	x_error: 2.36583994004	y_error: 2.36583994004
time: 6.98397569444	x_error: 2.63630167715	y_error: 2.63630167715
time: 7.00397569444	x_error: 3.8168212301	y_error: 3.8168212301
time: 7.02798611111	x_error: 2.14463501578	y_error: 2.14463501578
time: 7.04798611111	x_error: 4.81981240092	y_error: 4.81981240092
time: 7.06798611111	x_error: 2.27222233615	y_error: 2.27222233615
time: 7.08798611111	x_error: 5.247145579	y_error: 5.247145579
time: 7.10859375	x_error: 2.7021542186	y_error: 2.7021542186
time: 7.12799479167	x_error: 5.67443653573	y_error: 5.67443653573
time: 7.14800347222	x_error: 3.12710942538	y_error: 3.12710942538
time: 7.16800347222	x_error: 6.10197163308	y_error: 6.10197163308
time: 7.18799479167	x_error: 5.55417964903	y_error: 5.55417964903
time: 7.20800347222	x_error: 5.31472057978	y_error: 5.31472057978
time: 7.22801215278	x_error: 5.75593980364	y_error: 5.75593980364
time: 7.25199652778	x_error: 6.6749253306	y_error: 6.6749253306
time: 7.27200520833	x_error: 5.80023823842	y_error: 5.80023823842
time: 7.29200520833	x_error: 6.54118450619	y_error: 6.54118450619
time: 7.31200520833	x_error: 7.44305061162	y_error: 7.44305061162
time: 7.33200520833	x_error: 6.56816160016	y_error: 6.56816160016
time: 7.35201388889	x_error: 7.30912668174	y_error: 7.30912668174
time: 7.37201388889	x_error: 6.21099278716	y_error: 6.21099278716
time: 7.39201388889	x_error: 8.55062697193	y_error: 8.55062697193
time: 7.41201388889	x_error: 8.30278276487	y_error: 8.30278276487
time: 7.43203125	x_error: 8.06309836879	y_error: 8.06309836879
time: 7.459453125	x_error: 8.5364368251	y_error: 8.5364368251
time: 8.07610243056	x_error: 0.790765849928	y_error: 0.790765849928
time: 8.10008680556	x_error: 1.25380330796	y_error: 1.25380330796
time: 8.12408854167	x_error: 0.134503556638	y_error: 0.134503556638
time: 8.14809895833	x_error: 0.0537086316998	y_error: 0.0537086316998
time: 8.17308159722	x_error: 0.443944510028	y_error: 0.443944510028
time: 8.19211805556	x_error: 0.540776651005	y_error: 0.540776651005
